,CHỈ TIÊU,2018,2019,2020,2021,2022
0,Doanh số,4938974313842.0,5588543354364.0,4443185062633.0,4857193376462.0,5516327276948.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,4938974313842.0,5588543354364.0,4443185062633.0,4857193376462.0,5516327276948.0
3,Giá vốn hàng bán,-4711796591674.0,-5268698466099.0,-4118093632892.0,-4557620718510.0,-5212556560837.0
4,Lãi gộp,227177722168.0,319844888265.0,325091429741.0,299572657952.0,303770716111.0
5,Thu nhập tài chính,18809104.0,740044231.0,1435245038.0,167189103.0,29077159.0
6,Chi phí tài chính,-17224236152.0,-35323699038.0,-47066005032.0,-37949466842.0,-24118325116.0
7,Trong đó: Chi phí lãi vay,-17224236152.0,-31398006388.0,-41325234283.0,-36781526544.0,-23321248393.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-133721952121.0,-178385353149.0,-199147803268.0,-193190184935.0,-177409901995.0
10,Chi phí quản lý doanh  nghiệp,-49012162567.0,-56053394995.0,-46134218904.0,-41873408046.0,-43365564378.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,27238180432.0,50822485314.0,34178647575.0,26726787232.0,58906001781.0
12,Thu nhập khác,9947061010.0,12379842093.0,2265827924.0,3392437532.0,3890604039.0
13,Chi phí khác,-14076637344.0,-7211236817.0,-513228975.0,-1619936924.0,-2065734606.0
14,"Thu nhập khác, ròng",-4129576334.0,5168605276.0,1752598949.0,1772500608.0,1824869433.0
16,Lãi/(lỗ) ròng trước thuế,23108604098.0,55991090590.0,35931246524.0,28499287840.0,60730871214.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-4767283081.0,-10838238412.0,-7188336037.0,-6698051057.0,-12314831173.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-4767283081.0,-10838238412.0,-7188336037.0,-6698051057.0,-12314831173.0
20,Lãi/(lỗ) thuần sau thuế,18341321017.0,45152852178.0,28742910487.0,21801236783.0,48416040041.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,18341321017.0,45152852178.0,28742910487.0,21801236783.0,48416040041.0
23,Lãi cơ bản trên cổ phiếu,0.0,7968.0,3902.0,2959.0,5021.0
24,Lãi trên cổ phiếu pha loãng,0.0,7968.0,3902.0,0.0,5021.0
