,CHỈ TIÊU,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,227671355242.0,881377290894.0,1300288972024.0,634697621000.0,529256970277.0
1,TÀI SẢN NGẮN HẠN,38351423226.0,598244273891.0,1062654330296.0,395512543265.0,277072086840.0
2,Tiền và tương đương tiền,127640026.0,362513624.0,455896117.0,424573325.0,1030399981.0
3,Tiền,127640026.0,362513624.0,455896117.0,424573325.0,1030399981.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,15238398333.0,3535335373.0,28163817004.0,9864355256.0,7169087717.0
10,Phải thu khách hàng,15175741181.0,3443283401.0,24998767653.0,9003294321.0,6293254915.0
11,Trả trước người bán,22500000.0,92051972.0,1737509351.0,103474835.0,0.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,40157152.0,0.0,1427540000.0,757586100.0,875832802.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",22461447763.0,555682483266.0,964579440868.0,383515777915.0,268335394994.0
19,Hàng tồn kho,22461447763.0,555682483266.0,964579440868.0,383515777915.0,285703939549.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,-17368544555.0
21,Tài sản lưu động khác,523937104.0,38663941628.0,69455176307.0,1707836769.0,537204148.0
22,Trả trước ngắn hạn,523937104.0,344116807.0,374527768.0,1578266834.0,509885201.0
23,Thuế VAT phải thu,0.0,38296434404.0,69063903093.0,0.0,25545619.0
24,Phải thu thuế khác,0.0,23390417.0,16745446.0,129569935.0,1773328.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,189319932016.0,283133017003.0,237634641728.0,239185077735.0,252184883437.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,165620733185.0,255885440086.0,217676889667.0,230812983006.0,232174703411.0
37,GTCL TSCĐ hữu hình,165620733185.0,255885440086.0,217649869058.0,230792129064.0,232160016136.0
38,Nguyên giá TSCĐ hữu hình,354532195798.0,499661445546.0,505894591285.0,557913698857.0,593062609428.0
39,Khấu hao lũy kế TSCĐ hữu hình,-188911462613.0,-243776005460.0,-288244722227.0,-327121569793.0,-360902593292.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,27020609.0,20853942.0,14687275.0
44,Nguyên giá TSCĐ vô hình,219823530.0,219823530.0,250656863.0,30833333.0,30833333.0
45,Khấu hao lũy kế TSCĐ vô hình,-219823530.0,-219823530.0,-223636254.0,-9979391.0,-16146058.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,193429689.0,0.0,2246716327.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,23505769142.0,27247576917.0,17711035734.0,8372094729.0,20010180026.0
59,Trả trước dài hạn,23505769142.0,27247576917.0,17711035734.0,8372094729.0,20010180026.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
