,CHỈ TIÊU,2016,2017,2018,2019,2020
0,Doanh số,75447036304.0,76311486978.0,66520021702.0,40694026305.0,49503277544.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,75447036304.0,76311486978.0,66520021702.0,40694026305.0,49503277544.0
3,Giá vốn hàng bán,-62610834286.0,-61499927433.0,-52611133199.0,-31952317111.0,-39940807272.0
4,Lãi gộp,12836202018.0,14811559545.0,13908888503.0,8741709194.0,9562470272.0
5,Thu nhập tài chính,24959439.0,20307128.0,16670509.0,8570633.0,6544674.0
6,Chi phí tài chính,-331896013.0,-685574287.0,-655482684.0,-586681425.0,-747250055.0
7,Trong đó: Chi phí lãi vay,-331896013.0,-685574287.0,-655482684.0,-586681425.0,-747250055.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-10184616258.0,-11544248803.0,-10979206207.0,-7627521083.0,-7997754809.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2344649186.0,2602043583.0,2290870121.0,536077319.0,824010082.0
12,Thu nhập khác,0.0,9500000.0,0.0,908000.0,0.0
13,Chi phí khác,-110970468.0,-405811778.0,-90522350.0,-25235830.0,-151473122.0
14,"Thu nhập khác, ròng",-110970468.0,-396311778.0,-90522350.0,-24327830.0,-151473122.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,2233678718.0,2205731805.0,2200347771.0,511749489.0,672536960.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-468929837.0,-509588039.0,-458174024.0,-107397064.0,-38158282.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-468929837.0,-509588039.0,-458174024.0,-107397064.0,-38158282.0
20,Lãi/(lỗ) thuần sau thuế,1764748881.0,1696143766.0,1742173747.0,404352425.0,634378678.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1764748881.0,1696143766.0,1742173747.0,404352425.0,634378678.0
23,Lãi cơ bản trên cổ phiếu,0.0,650.0,681.0,170.0,267.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
