,CHỈ TIÊU,2015,2016,2017,2018,2019,2020
0,TỔNG TÀI SẢN,85545957508.0,114098003676.0,103192446302.0,83755994438.0,64011104561.0,84397114181.0
1,TÀI SẢN NGẮN HẠN,82062132530.0,103795374788.0,94057018204.0,77388771234.0,60155629243.0,82660941669.0
2,Tiền và tương đương tiền,9452547009.0,5030755874.0,2647138931.0,9317443444.0,3783283983.0,5036982897.0
3,Tiền,9452547009.0,5030755874.0,2647138931.0,9317443444.0,3783283983.0,5036982897.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,66268426074.0,92157771126.0,83082926062.0,60686177710.0,43536392308.0,64462352462.0
10,Phải thu khách hàng,56569325148.0,76041471223.0,68337771858.0,48122908140.0,35809435452.0,54673100844.0
11,Trả trước người bán,872409300.0,2608167000.0,470000000.0,1010017100.0,540017100.0,591261260.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,406166950.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,8420524676.0,13508132903.0,14275154204.0,11553252470.0,7186939756.0,9197990358.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",6304010464.0,6468595862.0,8279424157.0,7306883581.0,12757378582.0,13000456904.0
19,Hàng tồn kho,6304010464.0,6468595862.0,8279424157.0,7306883581.0,12757378582.0,13000456904.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,37148983.0,138251926.0,47529054.0,78266499.0,78574370.0,161149406.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,78266499.0,78574370.0,0.0
23,Thuế VAT phải thu,37148983.0,138251926.0,47529054.0,0.0,0.0,161149406.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,3483824978.0,10302628888.0,9135428098.0,6367223204.0,3855475318.0,1736172512.0
28,Phải thu dài hạn,1392963282.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,1392963282.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,1974196378.0,9199710251.0,8159554957.0,5562900693.0,3415661192.0,1626019164.0
37,GTCL TSCĐ hữu hình,1974196378.0,9199710251.0,8159554957.0,5562900693.0,3415661192.0,1626019164.0
38,Nguyên giá TSCĐ hữu hình,16360470601.0,36155617010.0,36081321381.0,36131321381.0,36174503199.0,36513985017.0
39,Khấu hao lũy kế TSCĐ hữu hình,-14386274223.0,-26955906759.0,-27921766424.0,-30568420688.0,-32758842007.0,-34887965853.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,843229870.0,843229870.0,843229870.0,843229870.0,843229870.0,843229870.0
45,Khấu hao lũy kế TSCĐ vô hình,-843229870.0,-843229870.0,-843229870.0,-843229870.0,-843229870.0,-843229870.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,116665318.0,1102918637.0,975873141.0,804322511.0,439814126.0,110153348.0
59,Trả trước dài hạn,116665318.0,1102918637.0,975873141.0,804322511.0,439814126.0,110153348.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,71376959278.0,88645078490.0,79235446302.0,59738994438.0,39994104561.0,60380114181.0
65,Nợ ngắn hạn,71376959278.0,88645078490.0,79235446302.0,59738994438.0,39678104561.0,60039114181.0
66,Phải trả người bán,2532115636.0,1413789000.0,4075755600.0,3773786432.0,244798000.0,628502200.0
67,Người mua trả tiền trước,29548963487.0,24853944331.0,5263568426.0,10291548201.0,4119047903.0,13762394473.0
68,Thuế và các khoản phải trả Nhà nước,5207230477.0,7125638973.0,6599580675.0,5892787187.0,3127498027.0,3721422843.0
69,Phải trả người lao động,0.0,0.0,0.0,0.0,0.0,0.0
70,Chi phí phải trả,460000000.0,70744444.0,152037737.0,0.0,44288014.0,44288014.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,27179204561.0,49551302514.0,53427842861.0,31378021812.0,25486915839.0,32211455914.0
75,Vay ngắn hạn,6367691087.0,5576415000.0,9464600000.0,8114600000.0,6367305972.0,9383047506.0
