,Unnamed: 0,Q1 2010,Q1 2011,Q1 2012,Q1 2013,Q2 2013,Q3 2013
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-821961998.0,-289837204.0,502369927.0,1389815983.0,480875937.0,641257887.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,1527512049.0,2307770267.0,1236926628.0,1265629698.0,2170409169.0,2005581692.0
2,Lãi trước thuế,314079713.0,680913482.0,-514714411.0,-43268625.0,893740515.0,746953074.0
3,Khấu hao TSCĐ,797397431.0,816379674.0,1081617396.0,820053474.0,854413158.0,848265446.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,416034905.0,810477111.0,670023643.0,488844849.0,422255496.0,410363172.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,1539779370.0,-775805521.0,2339512196.0,909393676.0,-2027470037.0,-1520767025.0
13,(Tăng)/giảm hàng tồn kho,-2621279987.0,-1380930926.0,-507655897.0,-67064392.0,247616622.0,549885875.0
14,Tăng/(giảm) các khoản phải trả,-570594267.0,740030146.0,-2449053474.0,-275969395.0,668360771.0,154172456.0
15,( Tăng)/giảm chi phí trả trước,-614131068.0,-74936059.0,17077533.0,-116750709.0,9328657.0,-1799036.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-22668083.0,-810477111.0,-112977059.0,-225633600.0,-564569245.0,-317380671.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,-227435404.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-60580012.0,-295488000.0,-21460000.0,-99789295.0,-22800000.0,-1000000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-108020154.0,-992244029.0,-61867818.0,0.0,-242690000.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-108020154.0,-992244029.0,-61867818.0,0.0,-242690000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,0.0,0.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-542601890.0,1424541462.0,-3070799468.0,-1153286309.0,922865227.0,-433445681.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1082732000.0,1424541462.0,1403465918.0,1747385623.0,4968549387.0,3610011683.0
33,Tiển trả các khoản đi vay,-1625333890.0,0.0,-3724265386.0,-2900671932.0,-4045684160.0,-3445357364.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-750000000.0,0.0,0.0,-598100000.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-1472584042.0,142460229.0,-2630297359.0,236529674.0,1161051164.0,207812206.0
38,Tiền và tương đương tiền đầu kỳ,3779261609.0,826194075.0,4181782254.0,586546974.0,823076648.0,1984127812.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,2306677567.0,968654304.0,1551484895.0,823076648.0,1984127812.0,2191940018.0
