,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q1 2013,Q2 2013,Q3 2013
0,Doanh số,9198664196.0,11836299594.0,10053408050.0,10053408050.0,4735729358.0,9874380044.0,8940051127.0,5138110675.0,10918547507.0,9653467404.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-93704000.0,-541084450.0,0.0,0.0,-30558150.0,0.0
2,Doanh số thuần,9198664196.0,11836299594.0,10053408050.0,10053408050.0,4642025358.0,9333295594.0,8940051127.0,5138110675.0,10887989357.0,9653467404.0
3,Giá vốn hàng bán,-7017631173.0,-9708097280.0,-7991212568.0,-7991212568.0,-4051485797.0,-7718580162.0,-7065093320.0,-4269808146.0,-8248742914.0,-7258345217.0
4,Lãi gộp,2181033023.0,2128202314.0,2062195482.0,2062195482.0,590539561.0,1614715432.0,1874957807.0,868302529.0,2639246443.0,2395122187.0
5,Thu nhập tài chính,26740159.0,16699871.0,10993708.0,10993708.0,11046648.0,11807573.0,4903222.0,5158283.0,4438242.0,8676442.0
6,Chi phí tài chính,-494255640.0,-856539467.0,-752894745.0,-752894745.0,-670023643.0,-405682770.0,-833336359.0,-488844849.0,-422255496.0,-410363172.0
7,Trong đó: Chi phí lãi vay,-442560640.0,-817794467.0,-714149745.0,-714149745.0,-646071143.0,-387257770.0,-814911359.0,-472262349.0,-409357996.0,-338279421.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-166903451.0,-617977079.0,-405306044.0,-405306044.0,-136899196.0,-245336365.0,-381680405.0,-200119317.0,-941769354.0,-876039501.0
10,Chi phí quản lý doanh  nghiệp,-368331694.0,-280618788.0,-422957838.0,-422957838.0,-309098432.0,-295980123.0,-316333602.0,-227651995.0,-384918221.0,-370442882.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1178282397.0,389766851.0,492030563.0,492030563.0,-514435062.0,679523747.0,348510663.0,-43155349.0,894741614.0,746953074.0
12,Thu nhập khác,0.0,0.0,200909091.0,200909091.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chi phí khác,0.0,-4938942.0,-37782446.0,-37782446.0,-279349.0,0.0,-56183.0,-113276.0,-1001099.0,0.0
14,"Thu nhập khác, ròng",0.0,-4938942.0,163126645.0,163126645.0,-279349.0,0.0,-56183.0,-113276.0,-1001099.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1178282397.0,384827909.0,655157208.0,655157208.0,-514714411.0,679523747.0,348454480.0,-43268625.0,893740515.0,746953074.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-149160300.0,35427746.0,-58933768.0,-58933768.0,0.0,-60770828.0,-31807183.0,0.0,-227435404.0,-190488268.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-149160300.0,35427746.0,-58933768.0,-58933768.0,0.0,-60770828.0,-31807183.0,0.0,-227435404.0,-190488268.0
20,Lãi/(lỗ) thuần sau thuế,1029122097.0,420255655.0,596223440.0,596223440.0,-514714411.0,618752919.0,316647297.0,-43268625.0,666305111.0,556464806.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1029122097.0,420255655.0,596223440.0,596223440.0,-514714411.0,618752919.0,316647297.0,-43268625.0,666305111.0,556464806.0
23,Lãi cơ bản trên cổ phiếu,686.0,280.0,398.0,398.0,-343.0,413.0,211.0,-29.0,444.0,371.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
