,Unnamed: 0,2015,2016,2017,2018,2019,2020
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-7372330465.0,-1038046479.0,1753542687.0,-383372617.0,146584986.0,64614115.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-10416278291.0,-182593261.0,-3783281894.0,-3076479285.0,-562277184.0,-1746623037.0
2,Lãi trước thuế,-11362415398.0,-316067304.0,-3903056474.0,-4517598785.0,-1114675012.0,231887948.0
3,Khấu hao TSCĐ,643120555.0,20965273.0,7500000.0,3750005.0,0.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,223341049.0,0.0,0.0,1437583236.0,552419244.0,-1978502480.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-4274366.0,0.0,0.0,-213741.0,-21416.0,-8505.0
9,Chi phí lãi vay,83949869.0,112508770.0,112274580.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1237905309.0,-1909505951.0,1304921386.0,6802132402.0,80945543.0,2097093607.0
13,(Tăng)/giảm hàng tồn kho,-1053636.0,0.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,-844172369.0,1095574310.0,3337028429.0,-3744710597.0,-412723950.0,-279918395.0
15,( Tăng)/giảm chi phí trả trước,5211029009.0,70987193.0,717926068.0,-364315137.0,1060640577.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-83949869.0,-112508770.0,-112274580.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,-20000000.0,-5938060.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,289223278.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-18225634.0,0.0,0.0,213741.0,21416.0,8505.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-22500000.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,4274366.0,0.0,0.0,213741.0,21416.0,8505.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,7323471623.0,997258821.0,-1382000000.0,21766830.0,-114310870.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,7112140318.0,269114706.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,2199399925.0,2729927058.0,1175000000.0,834684301.0,0.0,0.0
33,Tiển trả các khoản đi vay,-1988068620.0,-2001782943.0,-2557000000.0,-812917471.0,-114310870.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-67084476.0,-40787658.0,371542687.0,-361392046.0,32295532.0,64622620.0
38,Tiền và tương đương tiền đầu kỳ,124970963.0,57886487.0,17098829.0,388641516.0,27249470.0,59545002.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,57886487.0,17098829.0,388641516.0,27249470.0,59545002.0,124167622.0
