,CHỈ TIÊU,2015,2016,2017,2018,2019,2020
0,TỔNG TÀI SẢN,10015627454.0,11792393281.0,10133588514.0,1893045962.0,231336129.0,177367622.0
1,TÀI SẢN NGẮN HẠN,8226477003.0,10190995296.0,9257616597.0,789405384.0,231336129.0,177367622.0
2,Tiền và tương đương tiền,57886487.0,17098829.0,388641516.0,27249470.0,59545002.0,124167622.0
3,Tiền,57886487.0,17098829.0,388641516.0,27249470.0,59545002.0,124167622.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,8042472223.0,10160135414.0,8841215580.0,762155914.0,171791127.0,53200000.0
10,Phải thu khách hàng,388954988.0,544017723.0,249230676.0,322451769.0,286282169.0,247041049.0
11,Trả trước người bán,837433000.0,2111659224.0,1280393271.0,1998192480.0,1997502480.0,41000000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,7039425284.0,7727799516.0,7534932682.0,102435950.0,101350007.0,0.0
16,Dự phòng nợ khó đòi,-223341049.0,-223341049.0,-223341049.0,-1660924285.0,-2213343529.0,-234841049.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,0.0,0.0,0.0,0.0
19,Hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,126118293.0,13761053.0,27759501.0,0.0,0.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,112357240.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,13761053.0,13761053.0,27759501.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,1789150451.0,1601397985.0,875971917.0,1103640578.0,0.0,0.0
28,Phải thu dài hạn,0.0,0.0,175896471.0,43000000.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,175896471.0,43000000.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,32215278.0,11250005.0,3750005.0,0.0,0.0,0.0
37,GTCL TSCĐ hữu hình,32215278.0,11250005.0,3750005.0,0.0,0.0,0.0
38,Nguyên giá TSCĐ hữu hình,2450224025.0,2450224025.0,2450224025.0,2373989116.0,2373989116.0,0.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2418008747.0,-2438974020.0,-2446474020.0,-2373989116.0,-2373989116.0,0.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,1756935173.0,1590147980.0,696325441.0,1060640578.0,0.0,0.0
59,Trả trước dài hạn,1485238702.0,1414251509.0,696325441.0,1060640578.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,271696471.0,175896471.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,1660221948.0,3483940373.0,5438968802.0,1791330781.0,1244295960.0,964377565.0
65,Nợ ngắn hạn,1660221948.0,3483940373.0,5438968802.0,1677019911.0,1244295960.0,964377565.0
66,Phải trả người bán,717622437.0,776531136.0,0.0,990480302.0,964377565.0,964377565.0
67,Người mua trả tiền trước,0.0,0.0,0.0,261357826.0,0.0,0.0
68,Thuế và các khoản phải trả Nhà nước,155351603.0,219170331.0,184025915.0,425181783.0,279641586.0,0.0
69,Phải trả người lao động,1559236.0,393047145.0,993159217.0,0.0,0.0,0.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,39288747.0,620647721.0,4169239630.0,0.0,276809.0,0.0
75,Vay ngắn hạn,746399925.0,1474544040.0,92544040.0,0.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,0.0,114310870.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,114310870.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,8355405506.0,8308452908.0,4694619712.0,101715181.0,-1012959831.0,-787009943.0
96,Vốn và các quỹ,8355405506.0,8308452908.0,4694619712.0,101715181.0,-1012959831.0,-787009943.0
97,Vốn góp,19730885294.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0
98,Cổ phiếu phổ thông,19730885294.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,-11375479788.0,-11691547092.0,-15305380288.0,-19898284819.0,-21012959831.0,-20787009943.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,-13064390.0,-11375479788.0,-11402323814.0,-15305380288.0,-19898284819.0,-21012959831.0
112,LNST chưa phân phối kỳ này,-11362415398.0,-316067304.0,-3903056474.0,-4592904531.0,-1114675012.0,225949888.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,10015627454.0,11792393281.0,10133588514.0,1893045962.0,231336129.0,177367622.0
