,CHỈ TIÊU,2015,2016,2017,2018,2019,2020
0,Doanh số,4680826226.0,10505202577.0,1615950949.0,5649300972.0,844363909.0,237694000.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,4680826226.0,10505202577.0,1615950949.0,5649300972.0,844363909.0,237694000.0
3,Giá vốn hàng bán,-11113874306.0,-6984826261.0,-3026850199.0,-5109980537.0,-116799219.0,0.0
4,Lãi gộp,-6433048080.0,3520376316.0,-1410899250.0,539320435.0,727564690.0,237694000.0
5,Thu nhập tài chính,7507966.0,19912958.0,803481.0,213741.0,21416.0,8505.0
6,Chi phí tài chính,-83949869.0,-112508770.0,-112274580.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-83946869.0,-112508770.0,-112274580.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-30752836.0,-765344605.0,-5489778.0,-35856894.0,-5383.0,0.0
10,Chi phí quản lý doanh  nghiệp,-4190089712.0,-3075986658.0,-2378428440.0,-2629808557.0,-809254236.0,-19894750.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-10730332531.0,-413550759.0,-3906288567.0,-2126131275.0,-81673513.0,217807755.0
12,Thu nhập khác,22694000.0,261461000.0,3232094.0,4433046357.0,0.0,262588177.0
13,Chi phí khác,-654776867.0,-163977545.0,-1.0,-6824513867.0,-1033001499.0,-248507984.0
14,"Thu nhập khác, ròng",-632082867.0,97483455.0,3232093.0,-2391467510.0,-1033001499.0,14080193.0
16,Lãi/(lỗ) ròng trước thuế,-11362415398.0,-316067304.0,-3903056474.0,-4517598785.0,-1114675012.0,231887948.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,-75305746.0,0.0,-5938060.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,-75305746.0,0.0,-5938060.0
20,Lãi/(lỗ) thuần sau thuế,-11362415398.0,-316067304.0,-3903056474.0,-4592904531.0,-1114675012.0,225949888.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-11362415398.0,-316067304.0,-3903056474.0,-4592904531.0,-1114675012.0,225949888.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,-2296.0,-557.0,113.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,-2296.0,-557.0,113.0
