,CHỈ TIÊU,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,105452481631.0,99674551237.0,100457529263.0
1,TÀI SẢN NGẮN HẠN,85264645445.0,79734049654.0,73472752299.0
2,Tiền và tương đương tiền,9981298998.0,33384580567.0,30894819640.0
3,Tiền,9981298998.0,33384580567.0,30894819640.0
4,Các khoản tương đương tiền,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,9931743840.0
6,Đầu tư ngắn hạn,0.0,0.0,9931743840.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,44495426143.0,31698286767.0,15533268130.0
10,Phải thu khách hàng,23105822136.0,25279427843.0,13045563769.0
11,Trả trước người bán,17424489407.0,6407158924.0,2476004361.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,3000000000.0,0.0,0.0
15,Phải thu khác,965114600.0,11700000.0,11700000.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",30690034297.0,14587990753.0,16762500806.0
19,Hàng tồn kho,30690034297.0,14587990753.0,16762500806.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,97886007.0,63191567.0,350419883.0
22,Trả trước ngắn hạn,97886007.0,63191567.0,31078012.0
23,Thuế VAT phải thu,0.0,0.0,319341871.0
24,Phải thu thuế khác,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,20187836186.0,19940501583.0,26984776964.0
28,Phải thu dài hạn,205200000.0,266400000.0,405281736.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,266400000.0,405281736.0
35,Dự phòng phải thu dài hạn,205200000.0,0.0,0.0
36,Tài sản cố định,19925098258.0,19621032554.0,17531041764.0
37,GTCL TSCĐ hữu hình,18125098258.0,17235318267.0,14676521711.0
38,Nguyên giá TSCĐ hữu hình,30697763384.0,29945678410.0,25028971801.0
39,Khấu hao lũy kế TSCĐ hữu hình,-12572665126.0,-12710360143.0,-10352450090.0
40,GTCL Tài sản thuê tài chính,1800000000.0,2385714287.0,2854520053.0
41,Nguyên giá tài sản thuê tài chính,1800000000.0,2450000000.0,3015591481.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,-64285713.0,-161071428.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0
