,CHỈ TIÊU,Q3 2022,Q4 2022
0,Doanh số,38168918320.0,27489408277.0
1,Các khoản giảm trừ,0.0,0.0
2,Doanh số thuần,38168918320.0,27489408277.0
3,Giá vốn hàng bán,-34993139032.0,-26549156156.0
4,Lãi gộp,3175779288.0,940252121.0
5,Thu nhập tài chính,41878491.0,8597343.0
6,Chi phí tài chính,-633798130.0,-685158296.0
7,Trong đó: Chi phí lãi vay,-616758298.0,-671149542.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0
9,Chi phí bán hàng,-652309306.0,-418812069.0
10,Chi phí quản lý doanh  nghiệp,-939063745.0,-607676765.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,992486598.0,-762797666.0
12,Thu nhập khác,433809340.0,2134639978.0
13,Chi phí khác,-274399314.0,-42967395.0
14,"Thu nhập khác, ròng",159410026.0,2091672583.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1151896624.0,1328874917.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-287451513.0,-331440650.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-287451513.0,-331440650.0
20,Lãi/(lỗ) thuần sau thuế,864445111.0,997434267.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,864445111.0,997434267.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0
