,CHỈ TIÊU,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,93583800673.0,81869900140.0,93586804881.0,104269717081.0,99693807031.0
1,TÀI SẢN NGẮN HẠN,56878062399.0,59286174234.0,71595336158.0,84843204655.0,72710330396.0
2,Tiền và tương đương tiền,3689118090.0,1786890489.0,6498701644.0,3210273476.0,30838069563.0
3,Tiền,3689118090.0,1786890489.0,6498701644.0,3210273476.0,30838069563.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,7200000000.0,9931743840.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,7210800000.0,9931743840.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,-10800000.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,38696712718.0,36663373388.0,31009861239.0,36161837538.0,15533268130.0
10,Phải thu khách hàng,17394554532.0,12686087948.0,15406540896.0,18232981155.0,13045563769.0
11,Trả trước người bán,21213712014.0,23977285440.0,15770882583.0,16470486102.0,2476004361.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,88446172.0,0.0,48778470.0,1458370281.0,11700000.0
16,Dự phòng nợ khó đòi,0.0,0.0,-216340710.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",14418703361.0,20816654353.0,32385132126.0,37262875698.0,16055528651.0
19,Hàng tồn kho,14418703361.0,20816654353.0,32385132126.0,37262875698.0,16627409461.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,-571880810.0
21,Tài sản lưu động khác,73528230.0,19256004.0,1701641149.0,1008217943.0,351720212.0
22,Trả trước ngắn hạn,73528230.0,19256004.0,59793260.0,63250299.0,32378341.0
23,Thuế VAT phải thu,0.0,0.0,1641847889.0,944967644.0,319341871.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,36705738274.0,22583725906.0,21991468723.0,19426512426.0,26983476635.0
28,Phải thu dài hạn,13975533126.0,465049176.0,177720000.0,0.0,405281736.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,13975533126.0,465049176.0,177720000.0,0.0,405281736.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,21333087202.0,22094676732.0,21813748723.0,19366620380.0,17531041764.0
37,GTCL TSCĐ hữu hình,19362932399.0,18165729631.0,19541026888.0,19366620380.0,14676521711.0
38,Nguyên giá TSCĐ hữu hình,23361505875.0,23851505875.0,27496817502.0,30697763384.0,25028971801.0
39,Khấu hao lũy kế TSCĐ hữu hình,-3998573476.0,-5685776244.0,-7955790614.0,-11331143004.0,-10352450090.0
40,GTCL Tài sản thuê tài chính,1970154803.0,3928947101.0,2272721835.0,0.0,2854520053.0
41,Nguyên giá tài sản thuê tài chính,2198453937.0,4778453937.0,3122958482.0,0.0,3015591481.0
42,Khấu hao lũy kế tài sản thuê tài chính,-228299134.0,-849506836.0,-850236647.0,0.0,-161071428.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,960000000.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,9000000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,9000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,437117946.0,23999998.0,0.0,59892046.0,47153135.0
59,Trả trước dài hạn,437117946.0,23999998.0,0.0,59892046.0,47153135.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,30238449952.0,29222607480.0,37750550677.0,40852799060.0,34421546550.0
65,Nợ ngắn hạn,26821838848.0,27093655055.0,37750550677.0,40852799060.0,33011713420.0
66,Phải trả người bán,1503030211.0,178533412.0,4007606275.0,5960292788.0,3176932389.0
67,Người mua trả tiền trước,126391000.0,142784687.0,3783252285.0,6658890048.0,1211492299.0
68,Thuế và các khoản phải trả Nhà nước,1007346759.0,751418927.0,215844706.0,1200616224.0,764383280.0
69,Phải trả người lao động,0.0,0.0,164000000.0,0.0,0.0
70,Chi phí phải trả,28423424.0,0.0,0.0,33000000.0,51979262.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,40014121.0,42394041.0,43284087.0,0.0,7046400.0
75,Vay ngắn hạn,24116633333.0,25978523988.0,29536563324.0,27000000000.0,27799879790.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,3416611104.0,2128952425.0,0.0,0.0,1409833130.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,3416611104.0,2128952425.0,0.0,0.0,1409833130.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,63345350721.0,52647292660.0,55836254204.0,63416918021.0,65272260481.0
96,Vốn và các quỹ,63345350721.0,52647292660.0,55836254204.0,63416918021.0,65272260481.0
97,Vốn góp,60000000000.0,46300000000.0,46300000000.0,50930000000.0,63153120000.0
98,Cổ phiếu phổ thông,60000000000.0,46300000000.0,46300000000.0,50930000000.0,63153120000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,-75600000.0,-75600000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,187579443.0,187579443.0,187579443.0,187579443.0,187579443.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,3157771278.0,6159713217.0,9348674761.0,12374938578.0,2007161038.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,455238405.0,3157771278.0,6159713217.0,9348674761.0,151818578.0
112,LNST chưa phân phối kỳ này,2702532873.0,3001941939.0,3188961544.0,3026263817.0,1855342460.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0
