,CHỈ TIÊU,2017,2018,2019,2020,2021
0,Doanh số,55436598265.0,52452358248.0,53989078969.0,85877293449.0,37232652779.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-5387522.0,0.0
2,Doanh số thuần,55436598265.0,52452358248.0,53989078969.0,85871905927.0,37232652779.0
3,Giá vốn hàng bán,-54268923688.0,-51518560644.0,-51588543610.0,-84180350965.0,-36947670257.0
4,Lãi gộp,1167674577.0,933797604.0,2400535359.0,1691554962.0,284982522.0
5,Thu nhập tài chính,307555383.0,161905238.0,42168262.0,2076420554.0,2813551262.0
6,Chi phí tài chính,-190089758.0,-291138398.0,-559604479.0,-520742905.0,-1494290769.0
7,Trong đó: Chi phí lãi vay,-190089758.0,-291138398.0,-559604479.0,-520742905.0,-250311492.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1808516537.0,-1675663316.0,-1279881684.0,-1237728019.0,-684228534.0
10,Chi phí quản lý doanh  nghiệp,-809883291.0,-729256313.0,-600411961.0,-748927705.0,-874584907.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1333259626.0,-1600355185.0,2805497.0,1260576887.0,45429574.0
12,Thu nhập khác,1496761113.0,1689560118.0,1464165806.0,789305533.0,410119961.0
13,Chi phí khác,0.0,-4753626.0,-29468785.0,0.0,-14173769.0
14,"Thu nhập khác, ròng",1496761113.0,1684806492.0,1434697021.0,789305533.0,395946192.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,163501487.0,84451307.0,1437502518.0,2049882420.0,441375766.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-32953050.0,-33026661.0,-293318229.0,-370683755.0,-77353308.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-32953050.0,-33026661.0,-293318229.0,-370683755.0,-77353308.0
20,Lãi/(lỗ) thuần sau thuế,130548437.0,51424646.0,1144184289.0,1679198665.0,364022458.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,130548437.0,51424646.0,1144184289.0,1679198665.0,364022458.0
23,Lãi cơ bản trên cổ phiếu,2611.0,1028.0,774.0,560.0,121.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,121.0
