,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,47831627255.0,83659003654.0,88105699189.0,45850456194.0,48466850319.0,48466850319.0,72481466415.0,57573306489.0,52124211682.0,49968416448.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,47831627255.0,83659003654.0,88105699189.0,45850456194.0,48466850319.0,48466850319.0,72481466415.0,57573306489.0,52124211682.0,49968416448.0
3,Giá vốn hàng bán,-9594338841.0,-12892516681.0,-42685050080.0,-11684032044.0,-11279089642.0,-11279089642.0,-11354957532.0,-21804966561.0,-11000032160.0,-11993627626.0
4,Lãi gộp,38237288414.0,70766486973.0,45420649109.0,34166424150.0,37187760677.0,37187760677.0,61126508883.0,35768339928.0,41124179522.0,37974788822.0
5,Thu nhập tài chính,8203412606.0,7089672847.0,12835662051.0,-559426550.0,14656680270.0,14656680270.0,12593889332.0,6676858571.0,10496015190.0,7057115987.0
6,Chi phí tài chính,0.0,-222321680.0,-8338877295.0,7250668097.0,-358130567.0,-358130567.0,-765246302.0,-5995010565.0,-322546886.0,-249917200.0
7,Trong đó: Chi phí lãi vay,0.0,-19056899.0,-239003731.0,-448999441.0,-358130567.0,-358130567.0,-552946302.0,-193018290.0,-203450823.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8544928347.0,-11282387515.0,-10797823489.0,-11407182711.0,-10236396238.0,-10236396238.0,-11705014580.0,-12706950758.0,-13414822705.0,-11256855146.0
10,Chi phí quản lý doanh  nghiệp,-5979775901.0,-6539603198.0,-5025091131.0,-6945388068.0,-5213057015.0,-5213057015.0,-7789699136.0,-5457823410.0,-7415975070.0,-6398890235.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,31915996772.0,59811847427.0,34094519245.0,22505094918.0,36036857127.0,36036857127.0,53460438197.0,18285413766.0,30466850051.0,27126242228.0
12,Thu nhập khác,59641061.0,668520387.0,17265489.0,0.0,24140419.0,24140419.0,2949981.0,48398646.0,64995429.0,0.0
13,Chi phí khác,-3109289119.0,-31.0,-75000000.0,-1.0,-11673510.0,-11673510.0,-131011000.0,-241157975.0,-1145145496.0,-8038844.0
14,"Thu nhập khác, ròng",-3049648058.0,668520356.0,-57734511.0,-1.0,12466909.0,12466909.0,-128061019.0,-192759329.0,-1080150067.0,-8038844.0
16,Lãi/(lỗ) ròng trước thuế,28866348714.0,60480367783.0,34036784734.0,22505094917.0,36049324036.0,36049324036.0,53332377178.0,18092654437.0,29386699984.0,27118203384.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-5033625077.0,-12448320010.0,-6242853352.0,-4616473395.0,-5875759645.0,-5875759645.0,-11000930357.0,-2812730320.0,-6202543039.0,-4519316357.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-188564362.0,188564362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-5222189439.0,-12259755648.0,-6242853352.0,-4616473395.0,-5875759645.0,-5875759645.0,-11000930357.0,-2812730320.0,-6202543039.0,-4519316357.0
20,Lãi/(lỗ) thuần sau thuế,23644159275.0,48220612135.0,27793931382.0,17888621522.0,30173564391.0,30173564391.0,42331446821.0,15279924117.0,23184156945.0,22598887027.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,23644159275.0,48220612135.0,27793931382.0,17888621522.0,30173564391.0,30173564391.0,42331446821.0,15279924117.0,23184156945.0,22598887027.0
23,Lãi cơ bản trên cổ phiếu,686.0,1407.0,808.0,423.0,878.0,878.0,1234.0,441.0,556.0,655.0
24,Lãi trên cổ phiếu pha loãng,686.0,1407.0,808.0,423.0,878.0,878.0,1234.0,441.0,556.0,655.0
