,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,216816318986.0,179408051147.0,167674228288.0,164955127319.0,166486490337.0,148858132089.0,147006708520.0,153275212984.0
1,Các khoản giảm trừ,-47923.0,-7975205.0,-4501423.0,-2917091.0,0.0,-401140091.0,-1076612681.0,-143254908.0
2,Doanh số thuần,216816271063.0,179400075942.0,167669726865.0,164952210228.0,166486490337.0,148456991998.0,145930095839.0,153131958076.0
3,Giá vốn hàng bán,-178190216227.0,-144887808352.0,-132099959444.0,-130648362721.0,-130941657983.0,-115064046386.0,-117058548954.0,-121204893787.0
4,Lãi gộp,38626054836.0,34512267590.0,35569767421.0,34303847507.0,35544832354.0,33392945612.0,28871546885.0,31927064289.0
5,Thu nhập tài chính,315703149.0,113347403.0,37784024.0,61302070.0,783643613.0,892543945.0,1220368746.0,1439148501.0
6,Chi phí tài chính,-19797931.0,-242259282.0,-411229519.0,-118007190.0,-4731995.0,-5975999.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,-19797931.0,-242259282.0,-411229519.0,-118007190.0,-4731995.0,-5975999.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-23944797868.0,-23081992030.0,-23406738656.0,-21364296859.0,-20299710084.0,-18955132643.0,-17238592048.0,-18820214056.0
10,Chi phí quản lý doanh  nghiệp,-11575967162.0,-7491674267.0,-8596594819.0,-9714600795.0,-11416322010.0,-10221414361.0,-7577724129.0,-7765500317.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3401195024.0,3809689414.0,3192988451.0,3168244733.0,4607711878.0,5102966554.0,5275599454.0,6780498417.0
12,Thu nhập khác,598454275.0,362162926.0,262001050.0,315793051.0,272284766.0,296808521.0,288137324.0,209404945.0
13,Chi phí khác,-916.0,-408976377.0,-19257.0,-2819.0,-1254.0,-5314.0,-26374250.0,-80002094.0
14,"Thu nhập khác, ròng",598453359.0,-46813451.0,261981793.0,315790232.0,272283512.0,296803207.0,261763074.0,129402851.0
16,Lãi/(lỗ) ròng trước thuế,3999648383.0,3762875963.0,3454970244.0,3484034965.0,4879995390.0,5399769761.0,5537362528.0,6909901268.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-892929274.0,-764978429.0,-716005769.0,-711397936.0,-994477340.0,-772539637.0,-793944479.0,-1419436254.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-892929274.0,-764978429.0,-716005769.0,-711397936.0,-994477340.0,-772539637.0,-793944479.0,-1419436254.0
20,Lãi/(lỗ) thuần sau thuế,3106719109.0,2997897534.0,2738964475.0,2772637029.0,3885518050.0,4627230124.0,4743418049.0,5490465014.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3106719109.0,2997897534.0,2738964475.0,2772637029.0,3885518050.0,4627230124.0,4743418049.0,5490465014.0
23,Lãi cơ bản trên cổ phiếu,2650.69,2750.36,2337.0,2472.0,2590.0,3085.0,3162.0,3660.0
24,Lãi trên cổ phiếu pha loãng,2650.69,2750.36,2337.0,2472.0,2590.0,3085.0,3162.0,3660.0
