,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,102674774318.0,110776024824.0,107252602246.0,123990172220.0,153332508764.0,155992948719.0,126003324871.0,155454130532.0,174245198856.0
1,TÀI SẢN NGẮN HẠN,98027440559.0,104705307691.0,101869584069.0,117695314684.0,148226819567.0,151846254378.0,122751090881.0,152825020259.0,171036092850.0
2,Tiền và tương đương tiền,3567667093.0,526036460.0,259873008.0,301390697.0,1490642175.0,649069466.0,2376155604.0,1266160154.0,4606110568.0
3,Tiền,3567667093.0,526036460.0,259873008.0,301390697.0,1490642175.0,649069466.0,2376155604.0,1266160154.0,4606110568.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,89461604382.0,94857658276.0,86116665107.0,94340239106.0,97589223134.0,126074442902.0,107371134267.0,141359451798.0,157721125633.0
10,Phải thu khách hàng,87942789174.0,94716867776.0,84143966487.0,93550279035.0,88116500197.0,124839556621.0,95247605463.0,137620250318.0,126732877269.0
11,Trả trước người bán,775122844.0,126142500.0,1405098620.0,789960071.0,9553759806.0,1234886281.0,11192939619.0,3739201480.0,17949400.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,743692364.0,14648000.0,567600000.0,0.0,41463131.0,0.0,930589185.0,0.0,30970298964.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-122500000.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",4998169084.0,9321612955.0,15493045954.0,23004498951.0,48967239896.0,25122742010.0,12470373005.0,9690442511.0,8708856649.0
19,Hàng tồn kho,4998169084.0,9321612955.0,15493045954.0,23004498951.0,48967239896.0,25122742010.0,12470373005.0,9690442511.0,8708856649.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,0.0,49185930.0,179714362.0,0.0,533428005.0,508965796.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,46981286.0,178726075.0,0.0,468075242.0,228537338.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,2204644.0,988287.0,0.0,65352763.0,280428458.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,4647333759.0,6070717133.0,5383018177.0,6294857536.0,5105689197.0,4146694341.0,3252233990.0,2629110273.0,3209106006.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
