,Unnamed: 0,Q1 2013,Q2 2013,Q3 2013,Q1 2014,Q2 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,22832006667.0,1905540932.0,-10831397596.0,12329401460.0,2537218682.0,8957345016.0,-2682816033.0,11176832111.0,-18141190942.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,1884140193.0,1847320563.0,3095461951.0,2919334307.0,2382562506.0,2899597232.0,3447606978.0,2682885900.0,1908170224.0
2,Lãi trước thuế,204018650.0,259234766.0,1437927179.0,750953679.0,505084730.0,984755057.0,1640788585.0,1015153928.0,-270057389.0
3,Khấu hao TSCĐ,1391690111.0,1399494763.0,1265470996.0,1569269756.0,1747976137.0,1627085432.0,1508035746.0,1542133100.0,1606444848.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202316821.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-82601369.0,-108840165.0,-88968341.0,-133002527.0,-155906125.0,-11093385.0,-168058081.0,-230348554.0,-35658881.0
9,Chi phí lãi vay,371032801.0,297431199.0,481032117.0,732113399.0,285407764.0,298850128.0,466840728.0,355947426.0,405124825.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-19325365386.0,7050922129.0,1843648557.0,-10020109435.0,2929858647.0,-5702384517.0,864456982.0,3775636631.0,1878843182.0
13,(Tăng)/giảm hàng tồn kho,-7045482520.0,5218107581.0,120285538.0,1123919013.0,-1000334929.0,-3069468743.0,-512512624.0,1897909426.0,2351940837.0
14,Tăng/(giảm) các khoản phải trả,49673421755.0,-12821080422.0,-15306132536.0,22869564047.0,-2681192254.0,17419636742.0,-7182527156.0,3119546676.0,-24749034366.0
