,CHỈ TIÊU,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,135898010342.0,134060935641.0,184155407456.0,109678486913.0,1573100865204.0
1,TÀI SẢN NGẮN HẠN,76161948286.0,48181699471.0,104171141711.0,24124176730.0,974266131565.0
2,Tiền và tương đương tiền,1777376181.0,3748590953.0,1541859946.0,117378107.0,57698362073.0
3,Tiền,1777376181.0,3748590953.0,1541859946.0,117378107.0,57698362073.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,70551778740.0,39286146862.0,95295230172.0,22290321571.0,488095221761.0
10,Phải thu khách hàng,58571314670.0,25255794705.0,88195055256.0,6113673014.0,217878941132.0
11,Trả trước người bán,11396633454.0,13458817553.0,6754774216.0,242595990.0,4270605471.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,39000000.0,77592929000.0
15,Phải thu khác,583830616.0,632133904.0,406000000.0,15955651867.0,188822907797.0
16,Dự phòng nợ khó đòi,0.0,-60599300.0,-60599300.0,-60599300.0,-470161639.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",2394511889.0,4535530228.0,6677785608.0,1710433717.0,395664603565.0
19,Hàng tồn kho,2394511889.0,4535530228.0,6677785608.0,1710433717.0,396806778966.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,-1142175401.0
21,Tài sản lưu động khác,1438281476.0,611431428.0,656265985.0,6043335.0,32807944166.0
22,Trả trước ngắn hạn,0.0,245662787.0,656265985.0,6043335.0,6544688277.0
23,Thuế VAT phải thu,1438281476.0,365768641.0,0.0,0.0,26254443082.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,8812807.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,59736062056.0,85879236170.0,79984265745.0,85554310183.0,598834733639.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,719710000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,719710000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,48712715115.0,46067771683.0,3624457745.0,0.0,472469002535.0
37,GTCL TSCĐ hữu hình,47185442371.0,46067771683.0,3624457745.0,0.0,469434519030.0
38,Nguyên giá TSCĐ hữu hình,61312442784.0,67176795651.0,9519096512.0,227751865.0,663415386800.0
39,Khấu hao lũy kế TSCĐ hữu hình,-14127000413.0,-21109023968.0,-5894638767.0,-227751865.0,-193980867770.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,1626292846.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,3946085447.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,-2319792601.0
43,GTCL tài sản cố định vô hình,1527272744.0,0.0,0.0,0.0,1408190659.0
44,Nguyên giá TSCĐ vô hình,4637258182.0,0.0,0.0,0.0,12226193896.0
45,Khấu hao lũy kế TSCĐ vô hình,-3109985438.0,0.0,0.0,0.0,-10818003237.0
46,Bất động sản đầu tư,9000000000.0,36100000000.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,9000000000.0,36100000000.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,2010969887.0,3699938124.0,0.0,0.0,7892301202.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,76359808000.0,85340187965.0,65671930334.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,11760000000.0,15558010334.0
55,Đầu tư dài hạn khác,0.0,0.0,76359808000.0,73580187965.0,50113920000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
