,CHỈ TIÊU,Q3 2016,Q1 2017,Q2 2017
0,Doanh số,298781625013.0,340311662300.0,307357676016.0
1,Các khoản giảm trừ,-350930671.0,-59661772.0,-91945919.0
2,Doanh số thuần,298430694342.0,340252000528.0,307265730097.0
3,Giá vốn hàng bán,-283987171360.0,-322531966938.0,-294673918975.0
4,Lãi gộp,14443522982.0,17720033590.0,12591811122.0
5,Thu nhập tài chính,7509055.0,5673472.0,6633761.0
6,Chi phí tài chính,-180432799.0,-298768022.0,-398647772.0
7,Trong đó: Chi phí lãi vay,-334912921.0,-298768022.0,-398647772.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0
9,Chi phí bán hàng,-9717021003.0,-12653686421.0,-9338577829.0
10,Chi phí quản lý doanh  nghiệp,-3044868310.0,-2682397565.0,-2941307201.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1508709925.0,2090855054.0,-80087919.0
12,Thu nhập khác,14618247.0,31269942.0,95257221.0
13,Chi phí khác,-16192455.0,-15353985.0,-63270489.0
14,"Thu nhập khác, ròng",-1574208.0,15915957.0,31986732.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1507135717.0,2106771011.0,-48101187.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,1507135717.0,2106771011.0,-48101187.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1507135717.0,2106771011.0,-48101187.0
23,Lãi cơ bản trên cổ phiếu,226.0,316.0,-7.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0
