,CHỈ TIÊU,Q3 2021,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,162001121564.0,221698643414.0,219042271326.0
1,TÀI SẢN NGẮN HẠN,160019120066.0,152217739977.0,149679973701.0
2,Tiền và tương đương tiền,13957786053.0,11467709054.0,13821453995.0
3,Tiền,13957786053.0,11467709054.0,12521453995.0
4,Các khoản tương đương tiền,0.0,0.0,1300000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0
9,Các khoản phải thu,105017757316.0,37346674932.0,16133212751.0
10,Phải thu khách hàng,37100309246.0,21831239467.0,2116310311.0
11,Trả trước người bán,67867448070.0,15465255465.0,14015254440.0
12,Phải thu nội bộ,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0
15,Phải thu khác,50000000.0,50180000.0,1648000.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",40957318248.0,103191945719.0,119546988978.0
19,Hàng tồn kho,40957318248.0,103191945719.0,119546988978.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0
21,Tài sản lưu động khác,86258449.0,211410272.0,178317977.0
22,Trả trước ngắn hạn,23197109.0,75410587.0,53812154.0
23,Thuế VAT phải thu,63061340.0,135999685.0,124505823.0
24,Phải thu thuế khác,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,1982001498.0,69480903437.0,69362297625.0
28,Phải thu dài hạn,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0
36,Tài sản cố định,1622372953.0,1070674262.0,980797625.0
37,GTCL TSCĐ hữu hình,1622372953.0,1070674262.0,980797625.0
38,Nguyên giá TSCĐ hữu hình,2556488364.0,2108893819.0,2108893819.0
39,Khấu hao lũy kế TSCĐ hữu hình,-934115411.0,-1038219557.0,-1128096194.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,68381500000.0,68381500000.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,359628545.0,28729175.0,0.0
59,Trả trước dài hạn,359628545.0,28729175.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,42163656111.0,1818298205.0,423880772.0
65,Nợ ngắn hạn,41702733465.0,1818298205.0,423880772.0
66,Phải trả người bán,2580347656.0,922476931.0,12331161.0
67,Người mua trả tiền trước,610.0,100240732.0,150218100.0
68,Thuế và các khoản phải trả Nhà nước,708545713.0,370932542.0,130131511.0
69,Phải trả người lao động,31070000.0,0.0,0.0
70,Chi phí phải trả,540000000.0,405000000.0,100000000.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,585974598.0,19648000.0,31200000.0
75,Vay ngắn hạn,37256794888.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,460922646.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,460922646.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,119837465453.0,219880345209.0,218618390554.0
96,Vốn và các quỹ,119837465453.0,219880345209.0,218618390554.0
97,Vốn góp,114276000000.0,217124400000.0,217124400000.0
98,Cổ phiếu phổ thông,114276000000.0,217124400000.0,217124400000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,-1625180000.0,-1769180000.0,-1769180000.0
