,CHỈ TIÊU,Q3 2020,Q3 2021,Q3 2022,Q4 2022
0,Doanh số,10939459229.0,26705067980.0,37491759460.0,82090861493.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-43539239.0
2,Doanh số thuần,10939459229.0,26705067980.0,37491759460.0,82047322254.0
3,Giá vốn hàng bán,-9714691146.0,-24261672218.0,-34953786986.0,-81860171500.0
4,Lãi gộp,1224768083.0,2443395762.0,2537972474.0,187150754.0
5,Thu nhập tài chính,55378.0,4071279.0,5027296.0,15780825.0
6,Chi phí tài chính,-423915747.0,-730998232.0,-988498843.0,0.0
7,Trong đó: Chi phí lãi vay,-43915747.0,-730998232.0,-988498843.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-129430000.0,-239070000.0,-378860000.0,-579395000.0
10,Chi phí quản lý doanh  nghiệp,-497586450.0,-1069650985.0,-1000303504.0,-1200835547.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,173891264.0,407747824.0,175337423.0,-1577298968.0
12,Thu nhập khác,0.0,0.0,0.0,3197.0
13,Chi phí khác,-14930239.0,-1039740.0,-60773586.0,-50675.0
14,"Thu nhập khác, ròng",-14930239.0,-1039740.0,-60773586.0,-47478.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,158961025.0,406708084.0,114563837.0,-1577346446.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-31792205.0,-81341617.0,-35067485.0,315391791.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-31792205.0,-81341617.0,-35067485.0,315391791.0
20,Lãi/(lỗ) thuần sau thuế,127168820.0,325366467.0,79496352.0,-1261954655.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,127168820.0,325366467.0,79496352.0,-1261954655.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
