,CHỈ TIÊU,Q3 2016
0,Doanh số,23900981662.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,23900981662.0
3,Giá vốn hàng bán,-21360041651.0
4,Lãi gộp,2540940011.0
5,Thu nhập tài chính,7547590.0
6,Chi phí tài chính,-66289682.0
7,Trong đó: Chi phí lãi vay,-66289682.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,0.0
10,Chi phí quản lý doanh  nghiệp,-1946092626.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,536105293.0
12,Thu nhập khác,1025727559.0
13,Chi phí khác,-492389358.0
14,"Thu nhập khác, ròng",533338201.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,1069443494.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-220262562.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-220262562.0
20,Lãi/(lỗ) thuần sau thuế,849180932.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,849180932.0
23,Lãi cơ bản trên cổ phiếu,309.0
24,Lãi trên cổ phiếu pha loãng,0.0
