,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021
0,Doanh số,96485807063.0,91372896790.0,105211349823.0,89430260063.0,89364015380.0,104668481546.0,104994463873.0,120145012727.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-1273976210.0,0.0,0.0,0.0
2,Doanh số thuần,96485807063.0,91372896790.0,105211349823.0,89430260063.0,88090039170.0,104668481546.0,104994463873.0,120145012727.0
3,Giá vốn hàng bán,-84546715802.0,-80391466733.0,-93074973336.0,-74170086148.0,-73166494686.0,-91792582986.0,-91848956320.0,-106574588566.0
4,Lãi gộp,11939091261.0,10981430057.0,12136376487.0,15260173915.0,14923544484.0,12875898560.0,13145507553.0,13570424161.0
5,Thu nhập tài chính,964480576.0,138834794.0,134505427.0,11142598.0,172392549.0,173862899.0,8170908.0,53827332.0
6,Chi phí tài chính,-868390902.0,-152008807.0,-54814184.0,-331519843.0,-229279965.0,-183805871.0,-227495696.0,-332759433.0
7,Trong đó: Chi phí lãi vay,-868390902.0,-145158077.0,-53366550.0,-323157566.0,-220626758.0,-181855399.0,-227495696.0,-332759433.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-10035622412.0,-8671417301.0,-8167933635.0,-10263618174.0,-9795028906.0,-7667954089.0,-8421108659.0,-7672043835.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1999558523.0,2296838743.0,4048134095.0,4676178496.0,5071628162.0,5198001499.0,4505074106.0,5619448225.0
12,Thu nhập khác,1349509870.0,2953979677.0,2186316012.0,779670827.0,1253709129.0,1033758492.0,1060047699.0,93991153.0
13,Chi phí khác,-1261037283.0,-1392176659.0,-1360120653.0,-388955192.0,-197987692.0,-526236510.0,-329610170.0,-106237100.0
14,"Thu nhập khác, ròng",88472587.0,1561803018.0,826195359.0,390715635.0,1055721437.0,507521982.0,730437529.0,-12245947.0
16,Lãi/(lỗ) ròng trước thuế,2088031110.0,3858641761.0,4874329454.0,5066894131.0,6127349599.0,5705523481.0,5235511635.0,5607202278.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1657928945.0,-853076959.0,-1030187445.0,-1031268035.0,-1655385726.0,-1180914471.0,-835296270.0,-1103719569.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1657928945.0,-853076959.0,-1030187445.0,-1031268035.0,-1655385726.0,-1180914471.0,-835296270.0,-1103719569.0
20,Lãi/(lỗ) thuần sau thuế,430102165.0,3005564802.0,3844142009.0,4035626096.0,4471963873.0,4524609010.0,4400215365.0,4503482709.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,430102165.0,3005564802.0,3844142009.0,4035626096.0,4471963873.0,4524609010.0,4400215365.0,4503482709.0
23,Lãi cơ bản trên cổ phiếu,0.0,898.0,1147.0,953.0,831.0,1001.0,910.0,842.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,1147.0,953.0,831.0,1001.0,910.0,842.0
