,CHỈ TIÊU,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q4 2020.1,Q2 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
0,Doanh số,88125044993.0,141057594095.0,108875794315.0,92128007512.0,92128007512.0,58258424508.0,93080828842.0,221454103665.0,73072423558.0,21616654583.0
1,Các khoản giảm trừ,-681660.0,-1893500.0,-4968300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,88124363333.0,141055700595.0,108870826015.0,92128007512.0,92128007512.0,58258424508.0,93080828842.0,221454103665.0,73072423558.0,21616654583.0
3,Giá vốn hàng bán,-82960671956.0,-127276317820.0,-97218443325.0,-82654502331.0,-82654502331.0,-53806834808.0,-89014383420.0,-183407712565.0,-65247035018.0,-15889269229.0
4,Lãi gộp,5163691377.0,13779382775.0,11652382690.0,9473505181.0,9473505181.0,4451589700.0,4066445422.0,38046391100.0,7825388540.0,5727385354.0
5,Thu nhập tài chính,204868239.0,208435961.0,145961673.0,203232007.0,203232007.0,259361282.0,258106443.0,411134407.0,488308748.0,152089513.0
6,Chi phí tài chính,-2756707457.0,-2860061966.0,-2814683902.0,-2472008978.0,-2472008978.0,-2178724867.0,-2428797765.0,-2169278865.0,-1931473926.0,-1802517640.0
7,Trong đó: Chi phí lãi vay,-2648648401.0,-2663394939.0,-2632521263.0,-2405745402.0,-2405745402.0,-2008963650.0,-2305567162.0,-1944430743.0,-1836644853.0,-1757033325.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5271376949.0,-4069643867.0,-5935444344.0,-5026082553.0,-5026082553.0,-4852202048.0,-5555411675.0,-4752142616.0,-3106431426.0,-1269068360.0
10,Chi phí quản lý doanh  nghiệp,-2517564771.0,-1885904266.0,-2125090638.0,-2192749556.0,-2192749556.0,-2091994764.0,-1834061397.0,-1912253155.0,-2689331572.0,-1499895843.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-5177089561.0,5172208637.0,923125479.0,-14103899.0,-14103899.0,-4411970697.0,-5493718972.0,29623850871.0,586460364.0,1307993024.0
12,Thu nhập khác,16681646.0,5544527.0,7503651.0,857848699.0,857848699.0,5068059028.0,269790349.0,141842714.0,175535358.0,1091900.0
13,Chi phí khác,-215148.0,-1213777.0,-135959.0,-123283850.0,-123283850.0,-170361.0,-185755.0,-60504475.0,-2696320.0,-10293731.0
14,"Thu nhập khác, ròng",16466498.0,4330750.0,7367692.0,734564849.0,734564849.0,5067888667.0,269604594.0,81338239.0,172839038.0,-9201831.0
16,Lãi/(lỗ) ròng trước thuế,-5160623063.0,5176539387.0,930493171.0,720460950.0,720460950.0,655917970.0,-5224114378.0,29705189110.0,759299402.0,1298791193.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,-353587412.0,-334496365.0,-334496365.0,-973930644.0,0.0,-3713722233.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,-353587412.0,-334496365.0,-334496365.0,-973930644.0,0.0,-3713722233.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-5160623063.0,5176539387.0,576905759.0,385964585.0,385964585.0,-318012674.0,-5224114378.0,25991466877.0,759299402.0,1298791193.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-5160623063.0,5176539387.0,576905759.0,385964585.0,385964585.0,-318012674.0,-5224114378.0,25991466877.0,759299402.0,1298791193.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
