,CHỈ TIÊU,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013
0,Doanh số,95443079861.0,80834515763.0,83196186901.0,85729844447.0,113671192525.0,113671192525.0,92099133488.0,110397005659.0,112221017636.0,119050964740.0
1,Các khoản giảm trừ,-1161872611.0,-954224733.0,-1240739577.0,-1074510360.0,-1023286117.0,-1023286117.0,-499920488.0,-131058983.0,-214502928.0,-206267289.0
2,Doanh số thuần,94281207250.0,79880291030.0,81955447324.0,84655334087.0,112647906408.0,112647906408.0,91599213000.0,110265946676.0,112006514708.0,118844697451.0
3,Giá vốn hàng bán,-81343732988.0,-66509412377.0,-78666579840.0,-70346629819.0,-105901392905.0,-105901392905.0,-84726837356.0,-96519317271.0,-100469388393.0,-106304470701.0
4,Lãi gộp,12937474262.0,13370878653.0,3288867484.0,14308704268.0,6746513503.0,6746513503.0,6872375644.0,13746629405.0,11537126315.0,12540226750.0
5,Thu nhập tài chính,6292480.0,4518491.0,2321221.0,1197478.0,26565709.0,26565709.0,2886957.0,3641730.0,18726520.0,1156564.0
6,Chi phí tài chính,-11033118826.0,-9360466813.0,-10381082955.0,-8468567087.0,-8895293466.0,-8895293466.0,-8428083161.0,-11901686094.0,-8404348840.0,-6432582778.0
7,Trong đó: Chi phí lãi vay,-11033118826.0,-9360466813.0,-10381082955.0,-8468567087.0,-8876360197.0,-8876360197.0,-8428083161.0,-10162990812.0,-8404348840.0,-6432582778.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5915362758.0,-7625974901.0,-1151958743.0,-5739840354.0,145649303.0,145649303.0,-3815781458.0,-4969756874.0,-5613683796.0,-4183461188.0
10,Chi phí quản lý doanh  nghiệp,-3070204363.0,-2097886711.0,-1967146390.0,-1863330528.0,-3438072385.0,-3438072385.0,-2241842144.0,-4421194255.0,-2182288091.0,-1776300872.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-7074919205.0,-5708931281.0,-10208999383.0,-1761836223.0,-5414637336.0,-5414637336.0,-7610444162.0,-7542366088.0,-4644467892.0,149038476.0
12,Thu nhập khác,4544738381.0,0.0,0.0,0.0,5205500486.0,5205500486.0,54545454.0,5055406443.0,0.0,607909500.0
13,Chi phí khác,-2782598723.0,-68429546.0,-937235066.0,-90674224.0,-712079280.0,-712079280.0,-312050467.0,-4697733974.0,-540812455.0,-225203127.0
14,"Thu nhập khác, ròng",1762139658.0,-68429546.0,-937235066.0,-90674224.0,4493421206.0,4493421206.0,-257505013.0,357672469.0,-540812455.0,382706373.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-5312779547.0,-5777360827.0,-11146234449.0,-1852510447.0,-921216130.0,-921216130.0,-7867949175.0,-7184693619.0,-5185280347.0,531744849.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-702872875.0,0.0,-7188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-702872875.0,0.0,-7188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-6015652422.0,-5777360827.0,-11153422449.0,-1852510447.0,-921216130.0,-921216130.0,-7867949175.0,-7184693619.0,-5185280347.0,531744849.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-6015652422.0,-5777360827.0,-11153422449.0,-1852510447.0,-921216130.0,-921216130.0,-7867949175.0,-7184693619.0,-5185280347.0,531744849.0
23,Lãi cơ bản trên cổ phiếu,-1194.0,-1201.0,-1403.0,-385.0,-1106.0,-1106.0,-1635.0,-1493.0,-1078.0,-110.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
