,CHỈ TIÊU,2019,2020,2021,2022
0,Doanh số,24004687267.0,25694359091.0,114850163804.0,45870941834.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-33200927.0
2,Doanh số thuần,24004687267.0,25694359091.0,114850163804.0,45837740907.0
3,Giá vốn hàng bán,-85222491051.0,-12897166377.0,-85374652572.0,-20154268239.0
4,Lãi gộp,-61217803784.0,12797192714.0,29475511232.0,25683472668.0
5,Thu nhập tài chính,729154.0,646785.0,762288.0,358903.0
6,Chi phí tài chính,-106993971101.0,-108136744849.0,-102915149222.0,-89750292860.0
7,Trong đó: Chi phí lãi vay,-106993971101.0,-108136744849.0,-102915149222.0,-89750201358.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1345674479.0,-1094305467.0,-7482331163.0,1056917218.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-169556720210.0,-96433210817.0,-80921206865.0,-63009544071.0
12,Thu nhập khác,0.0,0.0,0.0,6507358470.0
13,Chi phí khác,0.0,0.0,-185553045.0,-3766986.0
14,"Thu nhập khác, ròng",0.0,0.0,-185553045.0,6503591484.0
16,Lãi/(lỗ) ròng trước thuế,-169556720210.0,-96433210817.0,-81106759910.0,-56505952587.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-169556720210.0,-96433210817.0,-81106759910.0,-56505952587.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-169556720210.0,-96433210817.0,-81106759910.0,-56505952587.0
23,Lãi cơ bản trên cổ phiếu,-4234.0,-1987.0,-1547.0,-1833.0
24,Lãi trên cổ phiếu pha loãng,0.0,-1987.0,-1547.0,0.0
