,Unnamed: 0,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,0.0,0.0,-83195391201.0,-96205385335.0,-8001728815.0,63158727868.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-201996118641.0,-111442593625.0,729154.0,646785.0,762288.0,358903.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-201996118641.0,-111442593625.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,729154.0,646785.0,762288.0,358903.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,203098235187.0,109842000000.0,83971000000.0,99046000000.0,5422073246.0,-63790000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,28531000000.0,126169000000.0,85000000000.0,107468000000.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,176567235187.0,31867000000.0,102821000000.0,77316000000.0,41266505000.0,0.0
33,Tiển trả các khoản đi vay,-2000000000.0,-48194000000.0,-103850000000.0,-85738000000.0,-35844431754.0,-63790000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,1102116546.0,-1600593625.0,776337953.0,2841261450.0,-2578893281.0,-630913229.0
38,Tiền và tương đương tiền đầu kỳ,565017149.0,1667133695.0,66540070.0,842878023.0,3684139473.0,1105246192.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,1667133695.0,66540070.0,842878023.0,3684139473.0,1105246192.0,474332963.0
