,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,34929909622.0,20775680784.0,29388984508.0,30063372635.0,27463766839.0,26896888697.0,61739015853.0,18921229854.0,50059433621.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,46696260839.0,39250109742.0,43541731493.0,49710141858.0,63900603473.0,60446393200.0,44914514530.0,49825736050.0,53780344310.0
2,Lãi trước thuế,15145082485.0,14016025784.0,16958053464.0,21185484119.0,32965585320.0,29076857375.0,10950712363.0,13486604415.0,15355287591.0
3,Khấu hao TSCĐ,24475645842.0,20006362717.0,20824794701.0,23749716035.0,26298791302.0,26825444460.0,29297858979.0,30841605032.0,33145480366.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198688262.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,554094032.0,267460027.0,357762551.0,-644936762.0,-473943408.0,32380404.0,-20710987.0,-24161305.0,-23845278.0
9,Chi phí lãi vay,6521438480.0,4960261214.0,5401120777.0,5419878466.0,5110170259.0,4511710961.0,4686654175.0,5322999646.0,5303421631.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1214432619.0,-2963120708.0,2461477964.0,2042879558.0,-3749421445.0,-2850000628.0,788625689.0,-4558184215.0,-888773750.0
13,(Tăng)/giảm hàng tồn kho,-7495942451.0,4317608627.0,1946117517.0,-4100285668.0,-18500306936.0,-17111204939.0,861813537.0,-905665519.0,-1635163672.0
14,Tăng/(giảm) các khoản phải trả,9756989541.0,-7064922011.0,-9621863773.0,2624002006.0,11382950893.0,2212018825.0,18201191305.0,-22200171072.0,6889590697.0
15,( Tăng)/giảm chi phí trả trước,494166666.0,-2296233961.0,1363765509.0,-8648058023.0,-8214350769.0,-4274367711.0,8708858398.0,5599520668.0,224251710.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5303421631.0
17,Chi phí lãi vay đã trả,-6521438480.0,-4960261214.0,-5483281888.0,-5502039577.0,-5201265825.0,-4585746377.0,-4768654175.0,-5979999646.0,-1249732043.0
18,Thuế thu nhập doanh nghiệp đã trả,-4599752420.0,-2503322568.0,-2379742314.0,-3275919519.0,-7749756552.0,-2121013086.0,-3456183587.0,-1527290412.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2185941454.0,-3004177123.0,-2439220000.0,-2787348000.0,-4404686000.0,-4819190587.0,-3511149844.0,-1332716000.0,-1757662000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-19226542229.0,-19278563469.0,-21398515660.0,-17911649116.0,-16056423883.0,-16055315150.0,-46991267099.0,-22526455872.0,-41103666793.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-17857485184.0,-23438322193.0,-25150641443.0,-18481385878.0,-16530367291.0,-16788402698.0,-46911978086.0,-22550617177.0,-41116842571.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,4109888334.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-1114963013.0,0.0,0.0,-75200000.0,0.0,0.0,-100000000.0,0.0,-10669500.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,300000000.0,4427218751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,695189650.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,-554094032.0,-267460027.0,-357762551.0,644936762.0,473943408.0,37897898.0,20710987.0,24161305.0,23845278.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-13033378744.0,-3223681924.0,7254970159.0,-9065800000.0,-18054015160.0,-20464578320.0,-14815600000.0,6582255817.0,-12622014629.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,-870179736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,18429029841.0,14884970159.0,6902000000.0,0.0,0.0,40000000000.0,86356255817.0,123244371000.0
33,Tiển trả các khoản đi vay,-13033378744.0,-16310000000.0,-7630000000.0,-9880000000.0,-10630000000.0,-10880000000.0,-32880000000.0,-74650000000.0,-129583199817.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-4472532029.0,0.0,-6087800000.0,-7424015160.0,-9584578320.0,-21935600000.0,-5124000000.0,-6283185812.0
37,Lưu chuyển tiền thuần trong kỳ,2669988649.0,-1726564609.0,15245439007.0,3085923519.0,-6646672204.0,-9623004773.0,-67851246.0,2977029799.0,-3666247801.0
38,Tiền và tương đương tiền đầu kỳ,1829830804.0,4499819453.0,2773254844.0,18018693851.0,21104617370.0,14457945166.0,4834940393.0,4767089147.0,7744118946.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,4499819453.0,2773254844.0,18018693851.0,21104617370.0,14457945166.0,4834940393.0,4767089147.0,7744118946.0,4077871145.0
