,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,89310279985.0,96696265638.0,96929424498.0,142289044029.0,154202956605.0,145650605508.0,155469464348.0,178823496323.0
1,TÀI SẢN NGẮN HẠN,40855927003.0,48064295602.0,51979489436.0,94000443138.0,110298626834.0,106285061064.0,114167265634.0,133566852881.0
2,Tiền và tương đương tiền,1638906449.0,1893014974.0,1751962210.0,7377049213.0,9135479162.0,6054805332.0,5766265072.0,3099330329.0
3,Tiền,1638906449.0,1893014974.0,1751962210.0,1951196213.0,5290055637.0,2208514769.0,2483367132.0,3099330329.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,5425853000.0,3845423525.0,3846290563.0,3282897940.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,33000000000.0,30966986301.0,33018242449.0,34335968204.0,37834912953.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,33000000000.0,30966986301.0,33018242449.0,34335968204.0,37834912953.0
9,Các khoản phải thu,1963829353.0,2126104093.0,16377122775.0,19306888453.0,32588598582.0,25479391450.0,25567088395.0,33085463141.0
10,Phải thu khách hàng,20028922673.0,18210386620.0,26188290395.0,28213372196.0,35739417555.0,27848721371.0,30489275699.0,37406139783.0
11,Trả trước người bán,1454209708.0,1258787085.0,4351212773.0,4306036275.0,9179376428.0,10044029775.0,10700270898.0,11252617185.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1083757338.0,692224144.0,3757913363.0,4650461038.0,4735181097.0,4652016802.0,1423716856.0,1423881231.0
16,Dự phòng nợ khó đòi,-20603060366.0,-18035293756.0,-17920293756.0,-17862981056.0,-17065376498.0,-17065376498.0,-17046175058.0,-16997175058.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",34077319304.0,42071053822.0,31396883973.0,31086442028.0,34272003320.0,38691887700.0,46260378331.0,57379484980.0
19,Hàng tồn kho,35565462698.0,42071053822.0,34661725215.0,34336388907.0,37504959990.0,44188974122.0,52763693316.0,63709638677.0
20,Dự phòng giảm giá HTK,-1488143394.0,0.0,-3264841242.0,-3249946879.0,-3232956670.0,-5497086422.0,-6503314985.0,-6330153697.0
21,Tài sản lưu động khác,3175871897.0,1974122713.0,2453520478.0,3230063444.0,3335559469.0,3040734133.0,2237565632.0,2167661478.0
22,Trả trước ngắn hạn,2929450863.0,1828765713.0,2308163478.0,3084706444.0,3190202469.0,2895377133.0,2026517199.0,2013763606.0
23,Thuế VAT phải thu,246421034.0,145357000.0,145357000.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,145357000.0,145357000.0,145357000.0,211048433.0,153897872.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,48454352982.0,48631970036.0,44949935062.0,48288600891.0,43904329771.0,39365544444.0,41302198714.0,45256643442.0
28,Phải thu dài hạn,0.0,0.0,30000000.0,30000000.0,30000000.0,45000000.0,3558788924.0,3646186770.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,30000000.0,30000000.0,30000000.0,45000000.0,3558788924.0,3646186770.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,45651415168.0,47105739282.0,44433824062.0,46164219459.0,43096123637.0,38692153461.0,36457621566.0,39747121081.0
37,GTCL TSCĐ hữu hình,45561390168.0,47054714282.0,43325405592.0,45277091445.0,42418261079.0,37804413635.0,35824459928.0,39418603820.0
38,Nguyên giá TSCĐ hữu hình,175969409821.0,183904984986.0,185566185031.0,192604158711.0,194819474570.0,194976474570.0,197445161275.0,206672461116.0
39,Khấu hao lũy kế TSCĐ hữu hình,-130408019653.0,-136850270704.0,-142240779439.0,-147327067266.0,-152401213491.0,-157172060935.0,-161620701347.0,-167253857296.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,1096393470.0,887128014.0,677862558.0,887739826.0,633161638.0,328517261.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,1255592727.0,1255592727.0,1255592727.0,1708720000.0,1708720000.0,453127273.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,-159199257.0,-368464713.0,-577730169.0,-820980174.0,-1075558362.0,-124610012.0
43,GTCL tài sản cố định vô hình,90025000.0,51025000.0,12025000.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,245500000.0,245500000.0,245500000.0,245500000.0,245500000.0,245500000.0,245500000.0,245500000.0
45,Khấu hao lũy kế TSCĐ vô hình,-155475000.0,-194475000.0,-233475000.0,-245500000.0,-245500000.0,-245500000.0,-245500000.0,-245500000.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,1522114523.0,0.0,304706853.0,1268534310.0,374736455.0,628390983.0,394736455.0,394736455.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",1522114523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
