,CHỈ TIÊU,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014
0,Doanh số,13341990712.0,15131063417.0,14131506833.0,13360777448.0,13360777448.0,4372870230.0,10479178530.0,5045222614.0,7491430388.0,1817809078.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,13341990712.0,15131063417.0,14131506833.0,13360777448.0,13360777448.0,4372870230.0,10479178530.0,5045222614.0,7491430388.0,1817809078.0
3,Giá vốn hàng bán,-9140438639.0,-9623489683.0,-13350410709.0,-12053706098.0,-12053706098.0,-4367312407.0,-8549536832.0,-4896202878.0,-7392945439.0,-2288961538.0
4,Lãi gộp,4201552073.0,5507573734.0,781096124.0,1307071350.0,1307071350.0,5557823.0,1929641698.0,149019736.0,98484949.0,-471152460.0
5,Thu nhập tài chính,115816359.0,19661346.0,14127920.0,4733208.0,4733208.0,5564960.0,63033763.0,10621438.0,630107.0,671310.0
6,Chi phí tài chính,-1157018471.0,-1216685332.0,-901300020.0,-808845847.0,-808845847.0,-669532806.0,-697914419.0,-512042213.0,-437778286.0,-376508957.0
7,Trong đó: Chi phí lãi vay,-1156666035.0,-1216008028.0,-901300020.0,-808023643.0,-808023643.0,-669532806.0,-695430258.0,-512042213.0,-437778286.0,-376508957.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-461601051.0,-410786258.0,-396992614.0,-449265850.0,-449265850.0,-360989569.0,-321468945.0,-252864845.0,-262341148.0,-185478899.0
10,Chi phí quản lý doanh  nghiệp,-1552044315.0,-1491207004.0,-1267447963.0,-1482304457.0,-1482304457.0,-938745801.0,-802261842.0,-683652043.0,-610763373.0,-452659531.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1146704595.0,2408556486.0,-1770516553.0,-1428611596.0,-1428611596.0,-1958145393.0,171030255.0,-1288917927.0,-1211767751.0,-1485128537.0
12,Thu nhập khác,0.0,32328649.0,20000000.0,9339308.0,9339308.0,0.0,183316493.0,6000000.0,174669068.0,0.0
13,Chi phí khác,-16676790.0,-20256217.0,-171076704.0,-150555620.0,-150555620.0,-17886854.0,-3430286.0,-7300000.0,-70723732.0,-2963000.0
14,"Thu nhập khác, ròng",-16676790.0,12072432.0,-151076704.0,-141216312.0,-141216312.0,-17886854.0,179886207.0,-1300000.0,103945336.0,-2963000.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1130027805.0,2420628918.0,-1921593257.0,-1569827908.0,-1569827908.0,-1976032247.0,350916462.0,-1290217927.0,-1107822415.0,-1488091537.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-1903554294.0,0.0,490824892.0,490824892.0,0.0,-102416521.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-1903554294.0,0.0,490824892.0,490824892.0,0.0,-102416521.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,1130027805.0,517074624.0,-1921593257.0,-1079003016.0,-1079003016.0,-1976032247.0,248499941.0,-1290217927.0,-1107822415.0,-1488091537.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1130027805.0,517074624.0,-1921593257.0,-1079003016.0,-1079003016.0,-1976032247.0,248499941.0,-1290217927.0,-1107822415.0,-1488091537.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,-320.0,-180.0,-180.0,-329.0,41.0,0.0,-185.0,-248.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
