,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q4 2022.1
0,Doanh số,166484059001.0,32672856249.0,55424329538.0,46283656803.0,266246772991.0,114058618626.0,65536037354.0,71759003462.0,88780815071.0,88780815071.0
1,Các khoản giảm trừ,0.0,-265535000.0,0.0,0.0,0.0,0.0,0.0,0.0,-28548735.0,-28548735.0
2,Doanh số thuần,166484059001.0,32407321249.0,55424329538.0,46283656803.0,266246772991.0,114058618626.0,65536037354.0,71759003462.0,88752266336.0,88752266336.0
3,Giá vốn hàng bán,-146076748985.0,-25991787211.0,-45599935087.0,-38896254780.0,-249399229571.0,-103277925813.0,-58514592281.0,-69355780307.0,-79776734586.0,-79776734586.0
4,Lãi gộp,20407310016.0,6415534038.0,9824394451.0,7387402023.0,16847543420.0,10780692813.0,7021445073.0,2403223155.0,8975531750.0,8975531750.0
5,Thu nhập tài chính,30339660.0,66086821.0,83661853.0,56919380.0,59295715.0,66182356.0,109024844.0,98733235.0,169364700.0,169364700.0
6,Chi phí tài chính,-877559771.0,-1377089734.0,-1153340181.0,-1103393914.0,-1118586048.0,-1266555912.0,-3901907810.0,-2010046192.0,-3576741999.0,-3576741999.0
7,Trong đó: Chi phí lãi vay,-230010437.0,-823946631.0,-1093484600.0,-1085914262.0,-1094930530.0,-1213432241.0,-1971738992.0,-1730887244.0,-1716358565.0,-1716358565.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8340445826.0,-4685711271.0,-7481166342.0,-6266589329.0,-6729896405.0,-6412249443.0,-6677216610.0,-3751928814.0,-6532355676.0,-6532355676.0
10,Chi phí quản lý doanh  nghiệp,-5203762221.0,-2851212008.0,-3055200708.0,528564857.0,-3068126054.0,-2959736643.0,-2514922226.0,-2783236569.0,-1867617975.0,-1867617975.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6015881858.0,-2432392154.0,-1781650927.0,602903017.0,5990230628.0,208333171.0,-5963576729.0,-6043255185.0,-2831819200.0,-2831819200.0
12,Thu nhập khác,-51354377.0,6363636.0,4090909.0,0.0,39090909.0,0.0,300323309.0,804545.0,20360742631.0,20360742631.0
13,Chi phí khác,59516266.0,-5850.0,0.0,0.0,0.0,-170365597.0,-4238007.0,0.0,-4597909357.0,-4597909357.0
14,"Thu nhập khác, ròng",8161889.0,6357786.0,4090909.0,0.0,39090909.0,-170365597.0,296085302.0,804545.0,15762833274.0,15762833274.0
16,Lãi/(lỗ) ròng trước thuế,6024043747.0,-2426034368.0,-1777560018.0,602903017.0,6029321537.0,37967574.0,-5667491427.0,-6042450640.0,12931014074.0,12931014074.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,-217787250.0,-22769959.0,0.0,0.0,-178576434.0,-178576434.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,-217787250.0,-22769959.0,0.0,0.0,-178576434.0,-178576434.0
20,Lãi/(lỗ) thuần sau thuế,6024043747.0,-2426034368.0,-1777560018.0,602903017.0,5811534287.0,15197615.0,-5667491427.0,-6042450640.0,12752437640.0,12752437640.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,6024043747.0,-2426034368.0,-1777560018.0,602903017.0,5811534287.0,15197615.0,-5667491427.0,-6042450640.0,12752437640.0,12752437640.0
23,Lãi cơ bản trên cổ phiếu,1102.0,-444.0,-325.0,110.0,1063.0,3.0,-1037.0,-1105.0,2332.0,2332.0
24,Lãi trên cổ phiếu pha loãng,1102.0,-444.0,0.0,110.0,1063.0,3.0,-1037.0,-1105.0,2332.0,2332.0
