,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,1887588319743.0,1814473519103.0,2289889692996.0,2497278493081.0,2637898065963.0,3368803760025.0,4018825460373.0,4130613744619.0,4366592838370.0
1,TÀI SẢN NGẮN HẠN,1189750046742.0,1095732543458.0,1344032636970.0,1419093480628.0,1471161541894.0,2220168661420.0,2568264380116.0,2542152665609.0,2657864001171.0
2,Tiền và tương đương tiền,26896886200.0,2813509760.0,5642333229.0,2070121504.0,99510064218.0,2563159992.0,25753085818.0,45606009065.0,52768015378.0
3,Tiền,26896886200.0,2813509760.0,5642333229.0,2070121504.0,99510064218.0,2563159992.0,25753085818.0,45606009065.0,52768015378.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,778425469378.0,595438404241.0,587806753104.0,610165130971.0,850522595192.0,1401369443360.0,1716358746249.0,1681437804700.0,1672642186885.0
10,Phải thu khách hàng,694090723049.0,445094314027.0,448902446456.0,496005582788.0,804162598042.0,704826660330.0,963814971273.0,971856762085.0,983462466799.0
11,Trả trước người bán,72322768413.0,137966563686.0,114459069451.0,100441898175.0,35975769955.0,687220367165.0,714805636472.0,683860834800.0,662106108839.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,12011977916.0,12377526528.0,24445237197.0,13717650008.0,10384227195.0,9322415865.0,37738138504.0,25720207815.0,27073611247.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",361803774007.0,459884172119.0,698750461019.0,742146726850.0,474557496760.0,742736238310.0,733754245473.0,710127229008.0,834119956578.0
19,Hàng tồn kho,361803774007.0,459884172119.0,698750461019.0,742146726850.0,474557496760.0,742736238310.0,733754245473.0,710127229008.0,834119956578.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,22623917157.0,37596457338.0,51833089618.0,64711501303.0,46571385724.0,73499819758.0,92398302576.0,104981622836.0,98333842330.0
22,Trả trước ngắn hạn,703747069.0,1177825729.0,1811386710.0,2241248986.0,1799694410.0,1788485541.0,2849082744.0,3461357711.0,2215907011.0
23,Thuế VAT phải thu,21920170088.0,36418631609.0,50021702908.0,62470252317.0,44771691314.0,71711334217.0,89549219832.0,101520265125.0,96117935319.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,697838273001.0,718740975645.0,945857056026.0,1078185012453.0,1166736524069.0,1148635098605.0,1450561080257.0,1588461079010.0,1708728837199.0
28,Phải thu dài hạn,18540522000.0,18540522000.0,30727962000.0,35236862000.0,35321862000.0,39056362000.0,56520763445.0,85907997900.0,93507997900.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,694200000.0,679200000.0,679200000.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,18540522000.0,18540522000.0,30727962000.0,34542662000.0,34642662000.0,38377162000.0,56520763445.0,85907997900.0,93507997900.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,497747560263.0,512209499843.0,781492767812.0,942758602914.0,1040518279160.0,1027041540612.0,1230569831523.0,1316423595187.0,1496585293560.0
37,GTCL TSCĐ hữu hình,370459047796.0,387677314123.0,612097683633.0,765806091174.0,864393922399.0,854493088675.0,1022357482116.0,1055640605575.0,1240962634941.0
38,Nguyên giá TSCĐ hữu hình,556263099817.0,584147745310.0,789791613680.0,957579645746.0,1071946099835.0,1080702508925.0,1260031628973.0,1329789020459.0,1540024411392.0
39,Khấu hao lũy kế TSCĐ hữu hình,-185804052021.0,-196470431187.0,-177693930047.0,-191773554572.0,-207552177436.0,-226209420250.0,-237674146857.0,-274148414884.0,-299061776451.0
40,GTCL Tài sản thuê tài chính,118904910739.0,116705547189.0,162125408845.0,170239799603.0,169968607821.0,166715838624.0,202796402761.0,255783709633.0,251040045307.0
41,Nguyên giá tài sản thuê tài chính,135393631145.0,128120903872.0,175763879076.0,186800242713.0,189900242713.0,189900242713.0,229233576046.0,282407654194.0,282407654194.0
42,Khấu hao lũy kế tài sản thuê tài chính,-16488720406.0,-11415356683.0,-13638470231.0,-16560443110.0,-19931634892.0,-23184404089.0,-26437173285.0,-26623944561.0,-31367608887.0
43,GTCL tài sản cố định vô hình,8383601728.0,7826638531.0,7269675334.0,6712712137.0,6155748940.0,5832613313.0,5415946646.0,4999279979.0,4582613312.0
44,Nguyên giá TSCĐ vô hình,11299505004.0,11299505004.0,11299505004.0,11299505004.0,11299505004.0,11299505004.0,11299505004.0,11299505004.0,11299505004.0
45,Khấu hao lũy kế TSCĐ vô hình,-2915903276.0,-3472866473.0,-4029829670.0,-4586792867.0,-5143756064.0,-5466891691.0,-5883558358.0,-6300225025.0,-6716891692.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,59456288636.0,77720172761.0,35113319892.0,13464594236.0,14001825505.0,17133022727.0,108027686527.0,117369648388.0,64954552222.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
