,Unnamed: 0,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-26760853235.0,-18340003358.0,-152092228429.0,-68209021742.0,-688497721870.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,148446756971.0,130417183091.0,134701945822.0,170522623769.0,288217050460.0
2,Lãi trước thuế,15495890078.0,25210205406.0,29019416674.0,32323327597.0,26703473944.0
3,Khấu hao TSCĐ,76048664949.0,56669063321.0,48499170654.0,63361124224.0,104771583634.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,1832092650.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,3381577684.0,-1012054701.0,29734964.0,-3041862753.0,20102904630.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-842456385.0,-10466044600.0,-3081228065.0,-1208357538.0,-3272933600.0
9,Chi phí lãi vay,54363080645.0,60016013665.0,60234851595.0,79088392239.0,138079929202.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-166692390625.0,12341347460.0,-185765993645.0,-91328966396.0,-932051971598.0
13,(Tăng)/giảm hàng tồn kho,-111008960457.0,-21162028411.0,-20754721111.0,-123299024029.0,-346897696445.0
14,Tăng/(giảm) các khoản phải trả,119044280753.0,-155418154300.0,81640685033.0,54367305555.0,444954754037.0
15,( Tăng)/giảm chi phí trả trước,37083980774.0,73685001763.0,-101621878565.0,44245327387.0,25410102326.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-54363080645.0,-60016013665.0,-60234851595.0,-78956431524.0,-138038520040.0
18,Thuế thu nhập doanh nghiệp đã trả,-529737886.0,-999393997.0,-57414368.0,-13519856504.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,1292739539.0,2812054701.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-34441659.0,0.0,0.0,-30240000000.0,-30091440610.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-122210942932.0,-86508241214.0,-37199797502.0,-199700986440.0,-766714912652.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-135415195194.0,-242091259180.0,-139432933476.0,-222182732730.0,-771994100649.0
23,Tiền thu được từ thanh lý tài sản cố định,13181818182.0,156122711636.0,110229544978.0,21750772725.0,13849564000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-550000000.0,-20814390013.0,0.0,-9315000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,11200000000.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,22434080.0,10306330.0,1617981009.0,730973565.0,744623997.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,151662866632.0,120381960570.0,197351154527.0,337571508444.0,1405882751245.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,100000000000.0,200000000000.0,0.0,0.0,400000000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,870606248759.0,726196591283.0,672525422158.0,1025238169612.0,1946191870917.0
33,Tiển trả các khoản đi vay,-805392518491.0,-790321039803.0,-460849205960.0,-662559874496.0,-900680948337.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-13550863636.0,-15493590910.0,-14325061671.0,-25106786672.0,-39628171335.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,2691070465.0,15533715998.0,8059128596.0,69661500262.0,-49329883277.0
38,Tiền và tương đương tiền đầu kỳ,522786144.0,3213856609.0,18747572607.0,26806701203.0,102097898655.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,3041862753.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3213856609.0,18747572607.0,26806701203.0,99510064218.0,52768015378.0
