,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,10590259806.0,7952245388.0,9324536618.0,9789681236.0,11331462486.0,11331462486.0,8770728900.0,10142274350.0,11182851500.0,12153494550.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,10590259806.0,7952245388.0,9324536618.0,9789681236.0,11331462486.0,11331462486.0,8770728900.0,10142274350.0,11182851500.0,12153494550.0
3,Giá vốn hàng bán,-9760304524.0,-6720069760.0,-8810075511.0,-9210547739.0,-9599088432.0,-9599088432.0,-7459181487.0,-8395189344.0,-10486742176.0,-11604597723.0
4,Lãi gộp,829955282.0,1232175628.0,514461107.0,579133497.0,1732374054.0,1732374054.0,1311547413.0,1747085006.0,696109324.0,548896827.0
5,Thu nhập tài chính,123941.0,13693211.0,3102684.0,1838392.0,242195520.0,242195520.0,448446046.0,339818.0,54238.0,27779.0
6,Chi phí tài chính,0.0,0.0,-7832233.0,-47908004.0,-50707927.0,-50707927.0,-49874415.0,-13560857.0,-1465.0,1004.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-7832233.0,-47908004.0,-50707927.0,-50707927.0,-49874415.0,-13560857.0,-1465.0,1004.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1521718447.0,-669037521.0,-279077359.0,-351455933.0,-1599500359.0,-1599500359.0,-458413548.0,-469401365.0,-513295138.0,-449301955.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-691639224.0,576831318.0,230654199.0,181607952.0,324361288.0,324361288.0,1251705496.0,1264462602.0,182866959.0,99623655.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chi phí khác,0.0,-570000681.0,-92989494.0,0.0,-392222158.0,-392222158.0,-420637257.0,-654437243.0,-2500000.0,-4462.0
14,"Thu nhập khác, ròng",0.0,-570000681.0,-92989494.0,0.0,-392222158.0,-392222158.0,-420637257.0,-654437243.0,-2500000.0,-4462.0
16,Lãi/(lỗ) ròng trước thuế,-691639224.0,6830637.0,137664705.0,181607952.0,-67860870.0,-67860870.0,831068239.0,610025359.0,180366959.0,99619193.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-1366127.0,-46130840.0,-36321590.0,0.0,0.0,-250341099.0,-607976840.0,-36073978.0,-19923839.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-1366127.0,-46130840.0,-36321590.0,0.0,0.0,-250341099.0,-607976840.0,-36073978.0,-19923839.0
20,Lãi/(lỗ) thuần sau thuế,-691639224.0,5464510.0,91533865.0,145286362.0,-67860870.0,-67860870.0,580727140.0,2048519.0,144292981.0,79695354.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-691639224.0,5464510.0,91533865.0,145286362.0,-67860870.0,-67860870.0,580727140.0,2048519.0,144292981.0,79695354.0
23,Lãi cơ bản trên cổ phiếu,-198.0,2.0,26.0,42.0,-19.0,-19.0,166.0,1.0,0.0,23.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
