,CHỈ TIÊU,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q1 2016,Q3 2016,Q1 2017,Q2 2017
0,Doanh số,102406872956.0,81014047163.0,81014047163.0,63792699717.0,93431752456.0,81941169449.0,81897700219.0,133203684376.0,83360230944.0,131356544041.0
1,Các khoản giảm trừ,-3161782313.0,-6172377343.0,-6172377343.0,-3082328790.0,-2737045518.0,-858327083.0,-713427649.0,-2279606765.0,-2426506226.0,2357090066.0
2,Doanh số thuần,99245090643.0,74841669820.0,74841669820.0,60710370927.0,90694706938.0,81082842366.0,81184272570.0,130924077611.0,80933724718.0,133713634107.0
3,Giá vốn hàng bán,-77458042534.0,-52544459884.0,-52544459884.0,-55834171465.0,-77957432527.0,-79737105312.0,-64146624029.0,-108272640877.0,-68461921617.0,-114109093018.0
4,Lãi gộp,21787048109.0,22297209936.0,22297209936.0,4876199462.0,12737274411.0,1345737054.0,17037648541.0,22651436734.0,12471803101.0,19604541089.0
5,Thu nhập tài chính,8170485.0,110565779.0,110565779.0,5482268.0,155812121.0,2595459.0,2790960.0,-47366273.0,1892557.0,258720162.0
6,Chi phí tài chính,-7576250049.0,-7636071645.0,-7636071645.0,-7807534941.0,-6879882471.0,-5516900226.0,-2826792883.0,-2177687715.0,-1844426422.0,-2196496114.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,-7536585910.0,0.0,0.0,-2826792883.0,-2177687716.0,-1844426422.0,-2163528404.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8821614425.0,-7589020859.0,-7589020859.0,-5695600806.0,-7086282585.0,-5335305681.0,-1494591571.0,-1917560741.0,-1312553760.0,-2285716836.0
10,Chi phí quản lý doanh  nghiệp,-5293681276.0,-4377021091.0,-4377021091.0,-2937516969.0,-3248077803.0,-2889673901.0,-4302208398.0,-6046420283.0,-4614438304.0,-4511310063.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,103672844.0,2805662120.0,2805662120.0,-11558970986.0,-4321156327.0,-12393547295.0,8416846649.0,12462401722.0,4702277172.0,10869738238.0
12,Thu nhập khác,298668929.0,111206978.0,111206978.0,184481379.0,695370050.0,120968224.0,251744191.0,3352760621.0,298668900.0,1206790289.0
13,Chi phí khác,-193369790.0,-841509865.0,-841509865.0,-4178624504.0,-291286617.0,0.0,-4397778427.0,-212855847.0,-480840998.0,-320681686.0
14,"Thu nhập khác, ròng",105299139.0,-730302887.0,-730302887.0,-3994143125.0,404083433.0,120968224.0,-4146034236.0,3139904774.0,-182172098.0,886108603.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,208971983.0,2075359233.0,2075359233.0,-15553114111.0,-3917072894.0,-12272579071.0,4270812413.0,15602306496.0,4520105074.0,11755846841.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3120461299.0,-904021015.0,-2315283666.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3120461299.0,-904021015.0,-2315283666.0
20,Lãi/(lỗ) thuần sau thuế,208971983.0,2075359233.0,2075359233.0,-15553114111.0,-3917072894.0,-12272579071.0,4270812413.0,12481845197.0,3616084059.0,9440563175.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,208971983.0,2075359233.0,2075359233.0,-15553114111.0,-3917072894.0,-12272579071.0,4270812413.0,12481845197.0,3616084059.0,9440563175.0
23,Lãi cơ bản trên cổ phiếu,29.9,297.0,297.0,-2225.0,-561.0,-1756.0,0.0,1786.0,517.0,1351.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
