,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,3945893201.0,4835878996.0,-15227913810.0,10042244425.0,10109714594.0,11269906416.0,5811589515.0,5461255441.0,-18135601005.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,7107600955.0,6716339099.0,6297168323.0,9918043024.0,14780505271.0,11773882699.0,12765352682.0,11931408125.0,26029018166.0
2,Lãi trước thuế,5606474256.0,4768560277.0,-599467429.0,2813760126.0,7884607540.0,4732241255.0,9974787676.0,6021296938.0,16320988979.0
3,Khấu hao TSCĐ,4786955047.0,5690487291.0,6217648172.0,7407206116.0,6816455272.0,7040335993.0,6426444372.0,7510470396.0,9157142317.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,267710000.0,0.0,-267710000.0,0.0,0.0,0.0,658752835.0,-109260000.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-3889022341.0,-4856962269.0,0.0,-102196218.0,-18181818.0,0.0,-3793636366.0,-2557057257.0,0.0
9,Chi phí lãi vay,603193993.0,846543800.0,678987580.0,66983000.0,97624277.0,1305451.0,157757000.0,297945213.0,660146870.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4914567770.0,-126017653.0,-3146181195.0,-1741048145.0,-5253123492.0,2610496480.0,-6005858971.0,-4303221248.0,-85694720463.0
13,(Tăng)/giảm hàng tồn kho,207465938.0,58828485.0,-120631700.0,133467878.0,20111945.0,-477925867.0,359836477.0,-8538157.0,136823341.0
14,Tăng/(giảm) các khoản phải trả,349232248.0,-163967741.0,-17538184732.0,3360122707.0,507932119.0,214092177.0,-313179964.0,-219790305.0,44550059597.0
15,( Tăng)/giảm chi phí trả trước,2018843932.0,-785318357.0,-50513926.0,-1064557488.0,714147728.0,-150029967.0,-85022720.0,1023259189.0,-820316729.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-822682102.0,-863984837.0,-669570580.0,-324722000.0,-95043527.0,-3886201.0,-157757000.0,-287671240.0,399782113.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-239061551.0,-564815450.0,-2107872215.0,-168916898.0,-2019220469.0,-1300000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,-588850690.0,-582864091.0,-654970454.0,-1436247030.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-19347841430.0,-4781204203.0,-670737727.0,-5687628740.0,-9760285454.0,-4120448486.0,-12105884260.0,2557057257.0,-6216837405.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-32974550522.0,-14804961781.0,-670737727.0,-5971628740.0,-9778467272.0,-4120448486.0,-15899520626.0,0.0,-6636837405.0
23,Tiền thu được từ thanh lý tài sản cố định,13595409092.0,10009090911.0,0.0,284000000.0,18181818.0,0.0,3793636366.0,2536363638.0,420000000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,31300000.0,14666667.0,0.0,0.0,0.0,0.0,0.0,20693619.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,16300000000.0,300000000.0,14450000000.0,-4900000000.0,-1667000000.0,2667000000.0,252500000.0,-6790391500.0,22528500000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,26950000000.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,25200000000.0,7700000000.0,10400000000.0,0.0,2000000000.0,3000000000.0,6000000000.0,0.0,26000000000.0
33,Tiển trả các khoản đi vay,-8900000000.0,-7400000000.0,-22900000000.0,-4900000000.0,-3667000000.0,-333000000.0,-3000000000.0,-3000000000.0,375000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,-2747500000.0,-3790391500.0,-3846500000.0
37,Lưu chuyển tiền thuần trong kỳ,898051771.0,354674793.0,-1448651537.0,-545384315.0,-1317570860.0,9816457930.0,-6041794745.0,1227921198.0,-1823938410.0
38,Tiền và tương đương tiền đầu kỳ,2932162697.0,3830214468.0,4184889261.0,5450359453.0,4904975138.0,3587404278.0,13403862208.0,7362067463.0,8589988661.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,3830214468.0,4184889261.0,2736237724.0,4904975138.0,3587404278.0,13403862208.0,7362067463.0,8589988661.0,6766050251.0
