,CHỈ TIÊU,Q1 2017,Q3 2017,Q4 2020,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,57226717845.0,57547120098.0,78300257862.0,76009095478.0,74877749638.0,79512224136.0,80582193926.0,119146097621.0,156370686574.0
1,TÀI SẢN NGẮN HẠN,17531281679.0,20303932769.0,32199893838.0,36577112941.0,37283885248.0,42749612513.0,40408084658.0,49986786906.0,89934280161.0
2,Tiền và tương đương tiền,3664017378.0,3272080750.0,7362067463.0,2091868834.0,8590754676.0,7758848396.0,2201087704.0,7060906888.0,6766050251.0
3,Tiền,3664017378.0,3272080750.0,7362067463.0,2091868834.0,8590754676.0,7758848396.0,2201087704.0,999542658.0,6766050251.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6061364230.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,12535128762.0,16013683320.0,21981053797.0,32214602765.0,26108243514.0,31584777452.0,35023036493.0,38477982442.0,79874191609.0
10,Phải thu khách hàng,10820261975.0,13998535635.0,17478283036.0,24581059581.0,18078914184.0,20698732816.0,28088436545.0,24180614394.0,24352142897.0
11,Trả trước người bán,0.0,0.0,13038545.0,331999000.0,1287989145.0,2802766900.0,149626111.0,0.0,6992652909.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1982576787.0,2282857685.0,4489732216.0,7960297019.0,7400093020.0,8742030571.0,7353726672.0,14846860883.0,49078888638.0
16,Dự phòng nợ khó đòi,-267710000.0,-267710000.0,0.0,-658752835.0,-658752835.0,-658752835.0,-568752835.0,-549492835.0,-549492835.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",408646043.0,317336875.0,381506715.0,556295956.0,390044872.0,473118991.0,362099301.0,300535849.0,253221531.0
19,Hàng tồn kho,408646043.0,317336875.0,381506715.0,556295956.0,390044872.0,473118991.0,362099301.0,300535849.0,253221531.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,923489496.0,700831824.0,2475265863.0,1714345386.0,2194842186.0,2932867674.0,2821861160.0,4147361727.0,3040816770.0
22,Trả trước ngắn hạn,843014472.0,651702310.0,2195245137.0,1714345386.0,2194842186.0,2889193830.0,2634175230.0,2358131226.0,3040816770.0
23,Thuế VAT phải thu,0.0,0.0,280020726.0,0.0,0.0,0.0,144012086.0,1789230501.0,0.0
24,Phải thu thuế khác,80475024.0,49129514.0,0.0,0.0,0.0,43673844.0,43673844.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,39695436166.0,37243187329.0,46100364024.0,39431982537.0,37593864390.0,36762611623.0,40174109268.0,69159310715.0,66436406413.0
28,Phải thu dài hạn,290000000.0,0.0,220000000.0,0.0,246827000.0,246827000.0,246827000.0,246827000.0,201827000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,290000000.0,0.0,0.0,0.0,246827000.0,246827000.0,246827000.0,246827000.0,201827000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,220000000.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,36604157058.0,33475539270.0,34129365672.0,38390018555.0,36513713456.0,34652408357.0,39074511103.0,37743504673.0,65426913334.0
37,GTCL TSCĐ hữu hình,36604157058.0,33475539270.0,34124115672.0,38390018555.0,36513713456.0,34652408357.0,39074511103.0,37743504673.0,65337850832.0
38,Nguyên giá TSCĐ hữu hình,69739041734.0,69959549791.0,86786318068.0,93249721923.0,93249721923.0,93249721923.0,99217559328.0,99886559328.0,128655001276.0
39,Khấu hao lũy kế TSCĐ hữu hình,-33134884676.0,-36484010521.0,-52662202396.0,-54859703368.0,-56736008467.0,-58597313566.0,-60143048225.0,-62143054655.0,-63317150444.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
