,Unnamed: 0,2012,2013,2014,2015,2016,2017,2018
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-10577731526.0,-21928461552.0,-5962268521.0,-1197219008.0,-80771910683.0,-28531862796.0,6381923907.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,0.0,0.0,0.0,10845048548.0,14049902943.0,12262101111.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-20084433892.0,-12651277236.0,-41800835212.0,-6502869024.0,-17223893447.0,80182258822.0,2816654.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-20093012476.0,-12657112771.0,-19065801327.0,-18272839792.0,-3418946881.0,-89074182.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,60000000.0,0.0,0.0,50091971426.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-31673000000.0,-14700000000.0,-55680000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,21444000000.0,12000000000.0,40700000000.0,14000000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-13160000000.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,13160000000.0,0.0,15680000000.0,0.0
28,Cổ tức và tiền lãi nhận được,8578584.0,5835535.0,593966115.0,1309970768.0,1175053434.0,499361578.0,2816654.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,30495219106.0,34565600972.0,48686030607.0,7690380724.0,101516849429.0,-51819723383.0,-7742012530.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,5136061795.0,9470523298.0,29900000000.0,0.0,48000000000.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,100159141996.0,148369621860.0,131373423251.0,224632774858.0,320991311189.0,83720461704.0,0.0
33,Tiển trả các khoản đi vay,-74799984685.0,-123274544186.0,-112587392644.0,-203814811358.0,-264211688052.0,-134900488809.0,-7742012530.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,-8039582776.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,-5088000000.0,-3262773708.0,-639696278.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-166946312.0,-14137816.0,922926874.0,-9707308.0,3521045299.0,-169327357.0,-1357271969.0
38,Tiền và tương đương tiền đầu kỳ,778664049.0,543697150.0,0.0,922926874.0,913219566.0,3853459450.0,3943136832.0
39,Ảnh hưởng của chênh lệch tỷ giá,-68020587.0,0.0,0.0,0.0,-19600556.0,-3458294.0,-45944.0
40,Tiền và tương đương tiền cuối kỳ,543697150.0,529559334.0,922926874.0,913219566.0,4414664309.0,3680673799.0,2585818919.0
