,CHỈ TIÊU,Q1 2012,Q2 2012
0,TỔNG TÀI SẢN,30139617975394.0,116615093815.0
1,TÀI SẢN NGẮN HẠN,17018820884762.0,109740417112.0
2,Tiền và tương đương tiền,2632324499012.0,3465534966.0
3,Tiền,419757236977.0,2415534966.0
4,Các khoản tương đương tiền,2212567262035.0,1050000000.0
5,Giá trị thuần đầu tư ngắn hạn,208267936384.0,0.0
6,Đầu tư ngắn hạn,232767626569.0,0.0
7,Dự phòng đầu tư ngắn hạn,-24499690185.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0
9,Các khoản phải thu,5457219246946.0,45904872408.0
10,Phải thu khách hàng,3467031158920.0,43367363932.0
11,Trả trước người bán,1439759073300.0,5611140279.0
12,Phải thu nội bộ,0.0,0.0
13,Phải thu về XDCB,466467179.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0
15,Phải thu khác,778282290276.0,1707265722.0
16,Dự phòng nợ khó đòi,-228319742729.0,-4780897525.0
17,Tài sản thiếu chờ xử lý,0.0,0.0
18,"Hàng tồn kho, ròng",7637958853084.0,54165677204.0
19,Hàng tồn kho,7661938812178.0,54165677204.0
20,Dự phòng giảm giá HTK,-23979959094.0,0.0
21,Tài sản lưu động khác,1083050349336.0,6204332534.0
22,Trả trước ngắn hạn,40862123623.0,2986939213.0
23,Thuế VAT phải thu,154691875811.0,2345514677.0
24,Phải thu thuế khác,58452840797.0,3813094.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0
26,Tài sản lưu động khác,829043509105.0,868065550.0
27,TÀI SẢN DÀI HẠN,13120797090632.0,6874676703.0
28,Phải thu dài hạn,27061502386.0,170045802.0
29,Phải thu khách hàng dài hạn,1154752798.0,1272232298.0
30,Trả trước người bán dài hạn,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0
32,Phải thu nội bộ dài hạn,193646788.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0
34,Phải thu dài hạn khác,26815289296.0,0.0
35,Dự phòng phải thu dài hạn,-1102186496.0,-1102186496.0
36,Tài sản cố định,10363552354061.0,4222314112.0
37,GTCL TSCĐ hữu hình,7693074102496.0,4222314112.0
38,Nguyên giá TSCĐ hữu hình,10092258451350.0,13573343642.0
39,Khấu hao lũy kế TSCĐ hữu hình,-2399184348854.0,-9351029530.0
40,GTCL Tài sản thuê tài chính,58037114148.0,0.0
41,Nguyên giá tài sản thuê tài chính,89649347055.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,-31612232907.0,0.0
43,GTCL tài sản cố định vô hình,62848100004.0,0.0
44,Nguyên giá TSCĐ vô hình,70075755701.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,-7227655697.0,0.0
46,Bất động sản đầu tư,754553343814.0,0.0
47,Nguyên giá tài sản đầu tư,902301441187.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,-147748097373.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0
51,Xây dựng cơ bản dở dang,2549593037413.0,0.0
52,Đầu tư dài hạn,1329033397290.0,1022100000.0
53,Đầu tư vào các công ty con,0.0,0.0
54,Đầu tư vào công ty liên doanh,950343523769.0,0.0
55,Đầu tư dài hạn khác,461302954398.0,2022100000.0
56,Dự phòng giảm giá đầu tư dài hạn,-82613080877.0,-1000000000.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0
58,Tài sản dài hạn khác,636781246688.0,1276946684.0
59,Trả trước dài hạn,321276249664.0,1009853449.0
60,Thuế thu nhập hoãn lại phải thu,298241651874.0,142093235.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0
62,Các tài sản dài hạn khác,17263345150.0,125000000.0
63,Lợi thế thương mại,9815246393.0,183270105.0
64,NỢ PHẢI TRẢ,23299662176368.0,96363210488.0
65,Nợ ngắn hạn,16354446838916.0,89889536031.0
66,Phải trả người bán,1537468738515.0,41084682226.0
67,Người mua trả tiền trước,4471785692722.0,20482678579.0
68,Thuế và các khoản phải trả Nhà nước,279837329948.0,4079032461.0
69,Phải trả người lao động,158775958885.0,4292390950.0
70,Chi phí phải trả,996803849083.0,1041627495.0
71,Phải trả nội bộ,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0
74,Phải trả khác,1868935873363.0,3090599079.0
75,Vay ngắn hạn,6998909636937.0,15818525241.0
76,Dự phòng các khoản phải trả ngắn hạn,848278109.0,0.0
77,"Quỹ khen thưởng, phúc lợi",41081481354.0,0.0
78,Quỹ bình ổn giá,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0
80,Nợ dài hạn,6945215337452.0,6473674457.0
81,Phải trả nhà cung cấp dài hạn,91961471297.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0
86,Doanh thu chưa thực hiên,802627967116.0,0.0
87,Phải trả dài hạn khác,26155071410.0,0.0
88,Vay dài hạn,6007124506572.0,6400000000.0
89,Trái phiếu chuyển đổi,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,546655607.0,0.0
92,Dự phòng trợ cấp thôi việc,9919279820.0,73674457.0
93,Dự phòng các khoản công nợ dài hạn,6880385630.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0
95,VỐN CHỦ SỞ HỮU,4963622505656.0,17233175513.0
96,Vốn và các quỹ,4570512159450.0,17074360622.0
97,Vốn góp,4417106730000.0,11000000000.0
