,CHỈ TIÊU,Q3 2016,Q4 2016
0,TỔNG TÀI SẢN,163545290064.0,157399884481.0
1,TÀI SẢN NGẮN HẠN,77252426490.0,75068990344.0
2,Tiền và tương đương tiền,49537215165.0,60736050776.0
3,Tiền,10037215165.0,9736050776.0
4,Các khoản tương đương tiền,39500000000.0,51000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,2500000000.0
6,Đầu tư ngắn hạn,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,2500000000.0
9,Các khoản phải thu,10555418770.0,1977148305.0
10,Phải thu khách hàng,9479377473.0,752080682.0
11,Trả trước người bán,41500000.0,404520000.0
12,Phải thu nội bộ,0.0,0.0
13,Phải thu về XDCB,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0
15,Phải thu khác,1034541297.0,820547623.0
16,Dự phòng nợ khó đòi,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0
18,"Hàng tồn kho, ròng",16048052855.0,9033190016.0
19,Hàng tồn kho,16048052855.0,10185741968.0
20,Dự phòng giảm giá HTK,0.0,-1152551952.0
21,Tài sản lưu động khác,1111739700.0,822601247.0
22,Trả trước ngắn hạn,1111739700.0,822601247.0
23,Thuế VAT phải thu,0.0,0.0
24,Phải thu thuế khác,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0
27,TÀI SẢN DÀI HẠN,86292863574.0,82330894137.0
28,Phải thu dài hạn,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0
36,Tài sản cố định,50485373645.0,44337457005.0
37,GTCL TSCĐ hữu hình,33035038368.0,31702464514.0
38,Nguyên giá TSCĐ hữu hình,63885231042.0,63818942677.0
39,Khấu hao lũy kế TSCĐ hữu hình,-30850192674.0,-32116478163.0
40,GTCL Tài sản thuê tài chính,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0
43,GTCL tài sản cố định vô hình,17450335277.0,12634992491.0
44,Nguyên giá TSCĐ vô hình,21872064160.0,17380197798.0
45,Khấu hao lũy kế TSCĐ vô hình,-4421728883.0,-4745205307.0
46,Bất động sản đầu tư,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,329109979.0
