,CHỈ TIÊU,Q4 2016
0,Doanh số,87450388694.0
1,Các khoản giảm trừ,-5887261602.0
2,Doanh số thuần,81563127092.0
3,Giá vốn hàng bán,-57941413312.0
4,Lãi gộp,23621713780.0
5,Thu nhập tài chính,576178340.0
6,Chi phí tài chính,0.0
7,Trong đó: Chi phí lãi vay,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,-12633188923.0
10,Chi phí quản lý doanh  nghiệp,-9815300254.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1749402943.0
12,Thu nhập khác,373938.0
13,Chi phí khác,-249573296.0
14,"Thu nhập khác, ròng",-249199358.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,1500203585.0
17,Thuế thu nhập doanh nghiệp – hiện thời,116889320.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-431611140.0
19,Chi phí thuế thu nhập doanh nghiệp,-314721820.0
20,Lãi/(lỗ) thuần sau thuế,1185481765.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1185481765.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
