,CHỈ TIÊU,2017,2018,2019,2020,2021
0,Doanh số,0.0,1050272726.0,1807609089.0,2284080000.0,3999000000.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,1050272726.0,1807609089.0,2284080000.0,3999000000.0
3,Giá vốn hàng bán,0.0,-411731651.0,-1190683470.0,-1111686375.0,-1877593432.0
4,Lãi gộp,0.0,638541075.0,616925619.0,1172393625.0,2121406568.0
5,Thu nhập tài chính,1699.0,167455.0,1304589255.0,395406529.0,217057668.0
6,Chi phí tài chính,0.0,-99424313.0,-503936709.0,-91846018.0,-68730442.0
7,Trong đó: Chi phí lãi vay,0.0,-8986301.0,-594374721.0,-91846018.0,-68730442.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-51783066.0,-604226121.0,-1875395162.0,-1795407809.0,-2125267472.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-51781367.0,-64941904.0,-457816997.0,-319453673.0,144466322.0
12,Thu nhập khác,0.0,0.0,1.0,3000134.0,531701.0
13,Chi phí khác,0.0,-281174.0,-14235977.0,-5000000.0,-7900000.0
14,"Thu nhập khác, ròng",0.0,-281174.0,-14235976.0,-1999866.0,-7368299.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-51781367.0,-65223078.0,-472052973.0,-321453539.0,137098023.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-51781367.0,-65223078.0,-472052973.0,-321453539.0,137098023.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-51781367.0,-65223078.0,-472052973.0,-321453539.0,137098023.0
23,Lãi cơ bản trên cổ phiếu,-863.0,-728.0,-376.0,-161.0,69.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
