,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,332179828774.0,966252876766.0,1342725432987.0,2201923114722.0,1916246229402.0,1551089290077.0,2383898779855.0,5977493452307.0
1,TÀI SẢN NGẮN HẠN,287475332630.0,895986474291.0,1153805567792.0,2017042674914.0,1634588559298.0,1360232692864.0,2153355039720.0,5002840187383.0
2,Tiền và tương đương tiền,19458548609.0,84203409963.0,140635846593.0,205995292235.0,179330857160.0,246449572871.0,748373927712.0,1529298838140.0
3,Tiền,19458548609.0,29903409963.0,49202416080.0,825336755.0,736063851.0,13965163256.0,19828805212.0,312274096750.0
4,Các khoản tương đương tiền,0.0,54300000000.0,91433430513.0,205169955480.0,178594793309.0,232484409615.0,728545122500.0,1217024741390.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,405650000000.0,657600000000.0,103437750000.0,10149776329.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,1800000000.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,403850000000.0,657600000000.0,103437750000.0,10149776329.0,0.0,0.0
9,Các khoản phải thu,157691159384.0,413156430524.0,308212891036.0,691970171355.0,751764817570.0,756325504650.0,640287275044.0,1509858035670.0
10,Phải thu khách hàng,70495356758.0,331280170422.0,155017747991.0,479358199091.0,664500383833.0,607649829950.0,432590558369.0,908964945691.0
11,Trả trước người bán,73135437678.0,59318087146.0,76372701268.0,144709521854.0,68407288915.0,12835116050.0,82195190383.0,562656976358.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,14060364948.0,22558172956.0,76822441777.0,67902450410.0,18857144822.0,135840558650.0,125501526292.0,73360978013.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35124864392.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",102354711284.0,364672794586.0,282236605485.0,444287728140.0,582912029350.0,346045330545.0,727546656490.0,1879800565878.0
19,Hàng tồn kho,102354711284.0,364672794586.0,282236605485.0,444287728140.0,582912029350.0,346045330545.0,727546656490.0,1879800565878.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,7970913353.0,33953839218.0,17070224678.0,17189483184.0,17143105218.0,1262508469.0,37147180474.0,83882747695.0
22,Trả trước ngắn hạn,0.0,0.0,1177000916.0,2363820602.0,445970853.0,298014945.0,103818452.0,76000000.0
23,Thuế VAT phải thu,7959627920.0,33889441668.0,15893223762.0,14825662582.0,16697134365.0,516436230.0,34734605340.0,83463075578.0
24,Phải thu thuế khác,11285433.0,64397550.0,0.0,0.0,0.0,448057294.0,2308756682.0,343672117.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,44704496144.0,70266402475.0,188919865195.0,184880439808.0,281657670104.0,190856597213.0,230543740135.0,974653264924.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300470000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
