,CHỈ TIÊU,Q4 2017,Q4 2017.1,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019
0,Doanh số,6218141285.0,6218141285.0,4865743256.0,10756072026.0,10308060259.0,4084741191.0,4147190541.0,8113517543.0,7422085405.0,4780300954.0
1,Các khoản giảm trừ,-2202797.0,-2202797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,6215938488.0,6215938488.0,4865743256.0,10756072026.0,10308060259.0,4084741191.0,4147190541.0,8113517543.0,7422085405.0,4780300954.0
3,Giá vốn hàng bán,-4520670768.0,-4520670768.0,-4114540538.0,-6744364817.0,-5961867775.0,-2918271179.0,-3635419619.0,-4672435764.0,-4201371118.0,-3947774778.0
4,Lãi gộp,1695267720.0,1695267720.0,751202718.0,4011707209.0,4346192484.0,1166470012.0,511770922.0,3441081779.0,3220714287.0,832526176.0
5,Thu nhập tài chính,34565.0,34565.0,25104.0,501363635.0,2072454.0,-74968995.0,200020630.0,36204.0,21763.0,21639.0
6,Chi phí tài chính,-26664106037.0,-26664106037.0,-26076140052.0,-22518579112.0,-30476962052.0,-26512171997.0,-25903048732.0,-26190860386.0,-26478672036.0,-26478522346.0
7,Trong đó: Chi phí lãi vay,-26664106037.0,-26664106037.0,-26076140052.0,-22518579112.0,-30476962052.0,-26512171997.0,-25903048732.0,-26190860386.0,-26478672036.0,-26478522346.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5195240803.0,-5195240803.0,-6691991206.0,-5585802798.0,-5870043811.0,-5294365906.0,-5205960118.0,-6142160258.0,-6264773465.0,-5363534036.0
10,Chi phí quản lý doanh  nghiệp,-12524754024.0,-12524754024.0,-9522161074.0,-11373303307.0,-9953137393.0,-10140065973.0,-10739184162.0,-9723818603.0,-10261484248.0,-9706540094.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-42688798579.0,-42688798579.0,-41539064510.0,-34964614373.0,-41951878318.0,-40855102859.0,-41136401460.0,-38615721264.0,-39784193699.0,-40716048661.0
12,Thu nhập khác,174137534.0,174137534.0,55996822.0,241403513.0,5066651887.0,271758224.0,156280347.0,77284211.0,133150002.0,32989655.0
13,Chi phí khác,-2589415627.0,-2589415627.0,-702563473.0,-2410880365.0,-4818430651.0,-180331.0,-3275592.0,-2355625622.0,-1172804733.0,-2484683474.0
14,"Thu nhập khác, ròng",-2415278093.0,-2415278093.0,-646566651.0,-2169476852.0,248221236.0,271577893.0,153004755.0,-2278341411.0,-1039654731.0,-2451693819.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-45104076672.0,-45104076672.0,-42185631161.0,-37134091225.0,-41703657082.0,-40583524966.0,-40983396705.0,-40894062675.0,-40823848430.0,-43167742480.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-45104076672.0,-45104076672.0,-42185631161.0,-37134091225.0,-41703657082.0,-40583524966.0,-40983396705.0,-40894062675.0,-40823848430.0,-43167742480.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-45104076672.0,-45104076672.0,-42185631161.0,-37134091225.0,-41703657082.0,-40583524966.0,-40983396705.0,-40894062675.0,-40823848430.0,-43167742480.0
23,Lãi cơ bản trên cổ phiếu,-1037.0,-1037.0,-970.0,-853.0,-959.0,-933.0,-942.0,-940.0,-959.0,-992.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
