,CHỈ TIÊU,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013
0,Doanh số,17781538263.0,13966668623.0,17855662437.0,17855662437.0,10031969363.0,9714710170.0,6659327643.0,8543163000.0,8543163000.0,2857334514.0
1,Các khoản giảm trừ,-76045455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,17705492808.0,13966668623.0,17855662437.0,17855662437.0,10031969363.0,9714710170.0,6659327643.0,8543163000.0,8543163000.0,2857334514.0
3,Giá vốn hàng bán,-18088105322.0,-14156618718.0,-15937495554.0,-15937495554.0,-9328754390.0,-10300414574.0,-7093292427.0,-7708216573.0,-7708216573.0,-3300400736.0
4,Lãi gộp,-382612514.0,-189950095.0,1918166883.0,1918166883.0,703214973.0,-585704404.0,-433964784.0,834946427.0,834946427.0,-443066222.0
5,Thu nhập tài chính,65589896.0,195387881.0,579137545.0,579137545.0,30088292.0,702017088.0,5671978.0,228446949.0,228446949.0,959627717.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,-6416667.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-548901290.0,-500293592.0,-690297842.0,-690297842.0,-763908428.0,-530013594.0,-841934266.0,198796121.0,198796121.0,-288897534.0
10,Chi phí quản lý doanh  nghiệp,-1036961631.0,-617927253.0,-1153622194.0,-1153622194.0,-673822444.0,-864510906.0,-708246635.0,-1230358083.0,-1230358083.0,-491021121.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1902885539.0,-1112783059.0,653384392.0,653384392.0,-704427607.0,-1284628483.0,-1978473707.0,31831414.0,31831414.0,-263357160.0
12,Thu nhập khác,0.0,0.0,1021159137.0,1021159137.0,29192177.0,21436364.0,170789861.0,511398305.0,511398305.0,31264902.0
13,Chi phí khác,0.0,0.0,-149772779.0,-149772779.0,0.0,0.0,-29142589.0,-68234496.0,-68234496.0,-22788465.0
14,"Thu nhập khác, ròng",0.0,0.0,871386358.0,871386358.0,29192177.0,21436364.0,141647272.0,443163809.0,443163809.0,8476437.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-1902885539.0,-1112783059.0,1524770750.0,1524770750.0,-675235430.0,-1263192119.0,-1836826435.0,474995223.0,474995223.0,-254880723.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-216000000.0,-219762854.0,-219762854.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-216000000.0,-219762854.0,-219762854.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-1902885539.0,-1328783059.0,1305007896.0,1305007896.0,-675235430.0,-1263192119.0,-1836826435.0,474995223.0,474995223.0,-254880723.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1902885539.0,-1328783059.0,1305007896.0,1305007896.0,-675235430.0,-1263192119.0,-1836826435.0,474995223.0,474995223.0,-254880723.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
