,CHỈ TIÊU,Q3 2016
0,Doanh số,4135876185.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,4135876185.0
3,Giá vốn hàng bán,-3575635422.0
4,Lãi gộp,560240763.0
5,Thu nhập tài chính,799403.0
6,Chi phí tài chính,-13599.0
7,Trong đó: Chi phí lãi vay,-13599.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,9818607.0
10,Chi phí quản lý doanh  nghiệp,-429975444.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,140869730.0
12,Thu nhập khác,28364000.0
13,Chi phí khác,0.0
14,"Thu nhập khác, ròng",28364000.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,169233730.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0
20,Lãi/(lỗ) thuần sau thuế,169233730.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,169233730.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
