,Unnamed: 0,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-6182818293.0,84756808250.0,-19735392470.0,-289515723544.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,6856120537.0,5320168383.0,11215754824.0,7835504944.0
2,Lãi trước thuế,5317406819.0,3991059674.0,12598854730.0,11509255588.0
3,Khấu hao TSCĐ,1639841726.0,1894940951.0,1473118212.0,1706169670.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,64046049.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-337181470.0,-988087137.0,-3274138812.0,0.0
9,Chi phí lãi vay,236053462.0,358208846.0,417920694.0,480818056.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,-5860738370.0
12,(Tăng)/giảm các khoản phải thu,-10814525340.0,-15258736511.0,-16869290227.0,-4957984337.0
13,(Tăng)/giảm hàng tồn kho,4656051150.0,-1226953543.0,-6049278225.0,-276849201875.0
14,Tăng/(giảm) các khoản phải trả,-6092444551.0,75712545749.0,-8430251098.0,-14458889568.0
15,( Tăng)/giảm chi phí trả trước,993016227.0,21219776604.0,1738653269.0,1864791620.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-236053462.0,-358208846.0,-417920694.0,-480818056.0
18,Thuế thu nhập doanh nghiệp đã trả,-1063481364.0,-300489530.0,-923060319.0,-2469126272.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-481501490.0,-351294056.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,337181470.0,-672035789682.0,-118363061188.0,216443182136.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-1223876819.0,-11637200000.0,-13556817864.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-320000000000.0,-260000000000.0,580000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,200000000000.0,150000000000.0,-350000000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,-551800000000.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,337181470.0,988087137.0,3274138812.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,5720297487.0,759002653171.0,-3971512182.0,17006146513.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,749999780000.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,6052041485.0,13724301350.0,2953529303.0,36993717166.0
33,Tiển trả các khoản đi vay,-331743998.0,-4721428179.0,-6925041485.0,-19987570653.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-125339336.0,171723671739.0,-142069965840.0,-56066394895.0
38,Tiền và tương đương tiền đầu kỳ,48140372970.0,48015033634.0,219738705373.0,77668739533.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,48015033634.0,219738705373.0,77668739533.0,21602344638.0
