,CHỈ TIÊU,Q1 2009,Q2 2009,Q2 2013,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,0.0,0.0,91910490627.0,409762504262.0,1248809902319.0,1247091010401.0,1258678396662.0
1,TÀI SẢN NGẮN HẠN,0.0,0.0,63386202853.0,157304760281.0,466073470135.0,455815577365.0,451402452015.0
2,Tiền và tương đương tiền,0.0,0.0,10618725545.0,48015033634.0,219738705373.0,77668739533.0,21602344638.0
3,Tiền,0.0,0.0,10618725545.0,8015033634.0,19738705373.0,45668739533.0,19602344638.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,40000000000.0,200000000000.0,32000000000.0,2000000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,0.0,0.0,18746235012.0,29655841267.0,166849424997.0,292984576172.0,66631766993.0
10,Phải thu khách hàng,0.0,0.0,17753722033.0,28973341465.0,12479257702.0,30510250360.0,6986565263.0
11,Trả trước người bán,0.0,0.0,183492906.0,197050170.0,34212853196.0,30070972529.0,12644762545.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,120000000000.0,230000000000.0,0.0
15,Phải thu khác,0.0,0.0,809020073.0,1031743619.0,767654135.0,3013693319.0,47610779221.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,-546293987.0,-610340036.0,-610340036.0,-610340036.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,30673450744.0,77358330891.0,78585284434.0,84634562659.0,361483764534.0
19,Hàng tồn kho,0.0,0.0,30673450744.0,77358330891.0,78585284434.0,84634562659.0,361483764534.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,3347791552.0,2275554489.0,900055331.0,527699001.0,1684575850.0
22,Trả trước ngắn hạn,0.0,0.0,2370743683.0,1010800273.0,641271334.0,527699001.0,373782334.0
