,CHỈ TIÊU,Q1 2011,Q2 2011,Q1 2012,Q2 2012,Q3 2012,Q3 2013
0,Doanh số,282122994840.0,240846099452.0,243618580810.0,281780227890.0,304639495736.0,323847843320.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-1067580.0,-321735683.0
2,Doanh số thuần,282122994840.0,240846099452.0,243618580810.0,281780227890.0,304638428156.0,323526107637.0
3,Giá vốn hàng bán,-238823052193.0,-218738050004.0,-216123205790.0,-255129773400.0,-268471768422.0,-284467411520.0
4,Lãi gộp,43299942647.0,22108049448.0,27495375020.0,26650454490.0,36166659734.0,39058696117.0
5,Thu nhập tài chính,6584376730.0,1116972708.0,519456505.0,528777943.0,575635016.0,650616207.0
6,Chi phí tài chính,-18111047724.0,-7686223730.0,-8268304569.0,-6768593682.0,-6003357349.0,-5651259647.0
7,Trong đó: Chi phí lãi vay,-16677597011.0,-6832748826.0,-7823790792.0,-6350336092.0,-5860167295.0,-5076013041.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-9438701868.0,-5467638975.0,-6918840228.0,-8251065923.0,-11207916407.0,-11040702152.0
10,Chi phí quản lý doanh  nghiệp,-5993538904.0,-6042450501.0,-6391659925.0,-8223937372.0,-7656313184.0,-10930522591.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,16341030881.0,4028708950.0,6436026803.0,3935635456.0,11874707810.0,12086827934.0
12,Thu nhập khác,0.0,0.0,153645178.0,4.0,52033169.0,415380231.0
13,Chi phí khác,-320077.0,0.0,-314878215.0,-103376067.0,-316622139.0,-19191402.0
14,"Thu nhập khác, ròng",-320077.0,0.0,-161233037.0,-103376063.0,-264588970.0,396188829.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,16340710804.0,4028708950.0,6274793766.0,3832259393.0,11610118840.0,12483016763.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1586941846.0,-1354058991.0,-1568698442.0,-958064848.0,-1275422638.0,-3120754191.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1586941846.0,-1354058991.0,-1568698442.0,-958064848.0,-1275422638.0,-3120754191.0
20,Lãi/(lỗ) thuần sau thuế,14753768958.0,2674649959.0,4706095324.0,2874194545.0,10334696202.0,9362262572.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,14753768958.0,2674649959.0,4706095324.0,2874194545.0,10334696202.0,9362262572.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0
