,CHỈ TIÊU,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018
0,TỔNG TÀI SẢN,36722627129.0,85437472846.0,154573337251.0,216175129085.0,283601855805.0
1,TÀI SẢN NGẮN HẠN,36722627129.0,85437472846.0,154573337251.0,216103431877.0,283601855805.0
2,Tiền và tương đương tiền,8566687905.0,4286650415.0,14739621731.0,12967371926.0,6214294210.0
3,Tiền,8566687905.0,4286650415.0,14739621731.0,12967371926.0,6214294210.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,28030302460.0,80944399667.0,139605331829.0,194413743032.0,275842977570.0
6,Đầu tư ngắn hạn,28030302460.0,81261409098.0,140732013526.0,195320375032.0,276093036158.0
7,Dự phòng đầu tư ngắn hạn,0.0,-317009431.0,-1126681697.0,-906632000.0,-520058588.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,270000000.0
9,Các khoản phải thu,125636764.0,206422764.0,183585991.0,8657335758.0,1363350624.0
10,Phải thu khách hàng,0.0,0.0,0.0,0.0,0.0
11,Trả trước người bán,1500000.0,23000000.0,52165231.0,48837000.0,816713860.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,124136764.0,183422764.0,131420760.0,8608498758.0,546636764.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,0.0,0.0,34100000.0
19,Hàng tồn kho,0.0,0.0,0.0,0.0,34100000.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,44797700.0,64981161.0,147133401.0
22,Trả trước ngắn hạn,0.0,0.0,44797700.0,64981161.0,147133401.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,0.0,0.0,0.0,71697208.0,0.0
28,Phải thu dài hạn,0.0,0.0,0.0,71697208.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,71697208.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,0.0,0.0,0.0,0.0,0.0
37,GTCL TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
38,Nguyên giá TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,9386492668.0,59149086264.0,125730161190.0,87011198597.0,129236393765.0
65,Nợ ngắn hạn,9386492668.0,59149086264.0,125730161190.0,87011198597.0,129236393765.0
66,Phải trả người bán,0.0,4986058.0,0.0,0.0,3079457947.0
67,Người mua trả tiền trước,0.0,0.0,0.0,0.0,0.0
68,Thuế và các khoản phải trả Nhà nước,2510729053.0,1739406584.0,1902568603.0,1710097773.0,6431302790.0
69,Phải trả người lao động,52400000.0,86578688.0,139509972.0,441140000.0,195495564.0
70,Chi phí phải trả,15759121.0,611392964.0,2006524751.0,0.0,498419601.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,5149376.0,1000000.0,16948285.0,75112954939.0,56934696.0
75,Vay ngắn hạn,6802455118.0,56705721970.0,121664609579.0,9447005885.0,118974783167.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,300000000.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,27336134461.0,26288386582.0,28843176061.0,129163930488.0,154365462040.0
96,Vốn và các quỹ,27336134461.0,26288386582.0,28843176061.0,129163930488.0,154365462040.0
97,Vốn góp,16000000000.0,16800000000.0,16800000000.0,45808460000.0,45808460000.0
98,Cổ phiếu phổ thông,16000000000.0,16800000000.0,16800000000.0,45808460000.0,45808460000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,68139055384.0,68139055384.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
