,CHỈ TIÊU,Q1 2016,Q2 2016,Q3 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018
0,Doanh số,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
3,Giá vốn hàng bán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lãi gộp,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
5,Thu nhập tài chính,139240012.0,4258647546.0,3453474301.0,13414385617.0,64045793.0,6606589151.0,8786435077.0,36147453413.0
6,Chi phí tài chính,-1398372009.0,-475957066.0,-347045741.0,-577213276.0,-961734263.0,-2820520379.0,-3176027574.0,-1354423494.0
7,Trong đó: Chi phí lãi vay,-178799021.0,-474886879.0,-346412053.0,0.0,-1190900222.0,-2010837012.0,-175905339.0,-681269218.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-91285779.0,-38481473.0,-90056940.0,-230352915.0,-426241878.0,-592581924.0,-1736486128.0,-939357105.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-1350417776.0,3744209007.0,3016371620.0,12606819426.0,-1323930348.0,3193486848.0,3876921375.0,33853672814.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,0.0,0.0,82572268.0,123565866.0
13,Chi phí khác,-3920000.0,3920000.0,0.0,0.0,0.0,0.0,-1311871.0,-2529333094.0
14,"Thu nhập khác, ròng",-3920000.0,3920000.0,0.0,0.0,0.0,0.0,81260397.0,-2405767228.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-1354337776.0,3748129007.0,3016371620.0,12606819426.0,-1323930348.0,3193486848.0,3958181772.0,31447905586.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,1850977568.0,-2520563885.0,276182469.0,-638697369.0,-784942729.0,-6246374034.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,1850977568.0,-2520563885.0,276182469.0,-638697369.0,-784942729.0,-6246374034.0
20,Lãi/(lỗ) thuần sau thuế,-1354337776.0,3748129007.0,4867349188.0,10086255541.0,-1047747879.0,2554789479.0,3173239043.0,25201531552.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-1354337776.0,3748129007.0,4867349188.0,10086255541.0,-1047747879.0,2554789479.0,3173239043.0,25201531552.0
23,Lãi cơ bản trên cổ phiếu,-1652.0,4312.0,2105.0,6304.0,-924.0,1524.0,1266.0,5502.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,2105.0,0.0,0.0,0.0,2547.0,5502.0
