,CHỈ TIÊU,2014,2015,2016,2017,2018
0,TỔNG TÀI SẢN,11227599040.0,14991419741.0,50653313617.0,216175129085.0,241784875410.0
1,TÀI SẢN NGẮN HẠN,11227599040.0,14955474755.0,50653313617.0,216103431877.0,241784875410.0
2,Tiền và tương đương tiền,35085860.0,5949754.0,64293076.0,12967371926.0,97508942490.0
3,Tiền,35085860.0,5949754.0,64293076.0,12967371926.0,14937275086.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,82571667404.0
5,Giá trị thuần đầu tư ngắn hạn,8919597677.0,14904066863.0,50500924119.0,194413743032.0,120804533234.0
6,Đầu tư ngắn hạn,8959095923.0,15530617040.0,50606604945.0,195320375032.0,6340358505.0
7,Dự phòng đầu tư ngắn hạn,-39498246.0,-626550177.0,-105680826.0,-906632000.0,-305825271.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,114770000000.0
9,Các khoản phải thu,2272915503.0,0.0,76611590.0,8657335758.0,22955188364.0
10,Phải thu khách hàng,0.0,0.0,9571590.0,0.0,0.0
11,Trả trước người bán,0.0,0.0,0.0,48837000.0,375593076.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,19081809883.0
15,Phải thu khác,2272915503.0,0.0,67040000.0,8608498758.0,3497785405.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",0.0,0.0,0.0,0.0,0.0
19,Hàng tồn kho,0.0,0.0,0.0,0.0,0.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,45458138.0,11484832.0,64981161.0,516211322.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,64981161.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,11484832.0,0.0,516211322.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,45458138.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,0.0,35944986.0,0.0,71697208.0,0.0
28,Phải thu dài hạn,0.0,0.0,0.0,71697208.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,71697208.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,0.0,0.0,0.0,0.0,0.0
37,GTCL TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
38,Nguyên giá TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,0.0,0.0,0.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,35944986.0,0.0,0.0,0.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,35944986.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,7348987338.0,9958848202.0,33403434697.0,87011198597.0,14950292667.0
65,Nợ ngắn hạn,7348987338.0,9958848202.0,33403434697.0,87011198597.0,14950292667.0
66,Phải trả người bán,0.0,2029276.0,30000000.0,0.0,4950000.0
67,Người mua trả tiền trước,0.0,0.0,0.0,0.0,0.0
68,Thuế và các khoản phải trả Nhà nước,0.0,0.0,0.0,1710097773.0,35451980.0
69,Phải trả người lao động,0.0,0.0,0.0,441140000.0,0.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0,806850748.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,66505599.0,225783088.0,900959363.0,75112954939.0,124587880.0
75,Vay ngắn hạn,7282481739.0,9731035838.0,32472475334.0,9447005885.0,13978452059.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,300000000.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,3878611702.0,5032571539.0,17249878920.0,129163930488.0,226834582743.0
96,Vốn và các quỹ,3878611702.0,5032571539.0,17249878920.0,129163930488.0,226834582743.0
97,Vốn góp,8200000000.0,8200000000.0,16000000000.0,45808460000.0,78727270000.0
98,Cổ phiếu phổ thông,8200000000.0,8200000000.0,16000000000.0,45808460000.0,78727270000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,68139055384.0,180604119607.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0
