,CHỈ TIÊU,2014,2015,2016,2017,2018
0,Doanh số,0.0,0.0,0.0,3000000.0,20000000.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,0.0,0.0,3000000.0,20000000.0
3,Giá vốn hàng bán,0.0,0.0,0.0,0.0,-12000000.0
4,Lãi gộp,0.0,0.0,0.0,3000000.0,8000000.0
5,Thu nhập tài chính,739660046.0,2796872968.0,8363132412.0,28871455638.0,50917054669.0
6,Chi phí tài chính,-4995466886.0,-1533491346.0,-3425898584.0,-7535495492.0,-89444134150.0
7,Trong đó: Chi phí lãi vay,-675720447.0,-768454761.0,-2067824657.0,-3377642573.0,-4984234012.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-65581458.0,-109421785.0,-344309495.0,-2985662845.0,-7450596528.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-4321388298.0,1153959837.0,4592924333.0,18353297301.0,-45969676009.0
12,Thu nhập khác,0.0,0.0,16818216.0,82572268.0,2712624184.0
13,Chi phí khác,0.0,0.0,-3920000.0,-1311871.0,-2631679238.0
14,"Thu nhập khác, ròng",0.0,0.0,12898216.0,81260397.0,80944946.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-4321388298.0,1153959837.0,4605822549.0,18434557698.0,-45888731063.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,-188515168.0,-3668021514.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,-188515168.0,-3668021514.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-4321388298.0,1153959837.0,4417307381.0,14766536184.0,-45888731063.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-4321388298.0,1153959837.0,4417307381.0,14766536184.0,-45888731063.0
23,Lãi cơ bản trên cổ phiếu,-6371.0,1407.0,3906.0,8170.0,-8713.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,7235.0,-8223.0
