,CHỈ TIÊU,Q1 2011
0,Doanh số,4882103217.0
1,Các khoản giảm trừ,0.0
2,Doanh số thuần,4882103217.0
3,Giá vốn hàng bán,-2651289116.0
4,Lãi gộp,2230814101.0
5,Thu nhập tài chính,90305304.0
6,Chi phí tài chính,-170627291.0
7,Trong đó: Chi phí lãi vay,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0
9,Chi phí bán hàng,-1284172137.0
10,Chi phí quản lý doanh  nghiệp,-844200906.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,22119071.0
12,Thu nhập khác,6701654.0
13,Chi phí khác,-5815000.0
14,"Thu nhập khác, ròng",886654.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0
16,Lãi/(lỗ) ròng trước thuế,23005725.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-5751431.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-5751431.0
20,Lãi/(lỗ) thuần sau thuế,17254294.0
21,Lợi ích của cổ đông thiểu số,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,17254294.0
23,Lãi cơ bản trên cổ phiếu,0.0
24,Lãi trên cổ phiếu pha loãng,0.0
