,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,133005402633.0,194345800562.0,237898884642.0,208328001836.0,218543470810.0,215002402866.0,192707321896.0
1,TÀI SẢN NGẮN HẠN,63736576373.0,121417881972.0,161690912783.0,130818290124.0,148028897677.0,143061580413.0,130522910703.0
2,Tiền và tương đương tiền,2114349924.0,53639472145.0,30884109658.0,11952338360.0,27837633217.0,14443707779.0,11585228287.0
3,Tiền,2114349924.0,51998556385.0,29163596183.0,11952338360.0,27837633217.0,14443707779.0,11585228287.0
4,Các khoản tương đương tiền,0.0,1640915760.0,1720513475.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,9209543095.0,5534043116.0,5835415786.0,7900000000.0,7900000000.0,7900000000.0,7900000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,9209543095.0,5534043116.0,5835415786.0,7900000000.0,7900000000.0,7900000000.0,7900000000.0
9,Các khoản phải thu,49759603130.0,59136387063.0,90927934490.0,77549702843.0,78738803682.0,86553998791.0,72872709038.0
10,Phải thu khách hàng,32487797099.0,30335558706.0,67016951745.0,47630744338.0,47432808807.0,55472234198.0,54520319294.0
11,Trả trước người bán,10024712875.0,21509216102.0,20547033218.0,26247672543.0,26770105693.0,27891599547.0,14755965086.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,7247093156.0,7291612255.0,3363949527.0,3671285962.0,4935662142.0,5038163336.0,5752688301.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-399772960.0,-1847998290.0,-2156263643.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",2491837683.0,2739792424.0,33720365571.0,32828738118.0,32928695683.0,33464551650.0,36765615307.0
19,Hàng tồn kho,2491837683.0,2739792424.0,33720365571.0,32828738118.0,32928695683.0,33464551650.0,36765615307.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,161242541.0,368187224.0,323087278.0,587510803.0,623765095.0,699322193.0,1399358071.0
22,Trả trước ngắn hạn,134412595.0,97775012.0,323087278.0,583546186.0,464950463.0,699322193.0,1327301379.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,26829946.0,270412212.0,0.0,3964617.0,158814632.0,0.0,72056692.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,69268826260.0,72927918590.0,76207971859.0,77509711712.0,70514573133.0,71940822453.0,62184411193.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,31992046819.0,38098808002.0,61763787755.0,68356931620.0,61663723449.0,64836762036.0,56334434397.0
37,GTCL TSCĐ hữu hình,22778143219.0,28884904402.0,61763787755.0,68356931620.0,61663723449.0,64685650924.0,56239989949.0
38,Nguyên giá TSCĐ hữu hình,38173652105.0,45729766594.0,85773679929.0,100158411115.0,101521311115.0,112436014842.0,112648786842.0
39,Khấu hao lũy kế TSCĐ hữu hình,-15395508886.0,-16844862192.0,-24009892174.0,-31801479495.0,-39857587666.0,-47750363918.0,-56408796893.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,9213903600.0,9213903600.0,0.0,0.0,0.0,151111112.0,94444448.0
44,Nguyên giá TSCĐ vô hình,9213903600.0,9213903600.0,0.0,0.0,0.0,170000000.0,170000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,-18888888.0,-75555552.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,26415004305.0,1714897683.0,4918609276.0,21369000.0,1074569000.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,10861775136.0,33114212905.0,9525574828.0,9131411092.0,7776280684.0,7104060417.0,5849976796.0
