,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,7318120205.0,-17721191717.0,-2601140665.0,5412713403.0,33383075578.0,71516202278.0,-703897910181.0,250853482363.0,185097909000.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,6893691161.0,12347468531.0,10242294428.0,3648455152.0,6956453477.0,5558798691.0,21662321663.0,49651978927.0,20220482834.0
2,Lãi trước thuế,3451391204.0,8700084796.0,10096972948.0,10315954506.0,9398521368.0,12150488159.0,31381240362.0,86041953309.0,45060432635.0
3,Khấu hao TSCĐ,2261816159.0,1884428670.0,1603012805.0,621962848.0,116448940.0,2377881675.0,8799295095.0,9263616581.0,519400776.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67625588.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-223790148.0,431930857.0,-2625313926.0,-7684566287.0,-2558516831.0,-8984898036.0,-20613071925.0,-131101090589.0,-53965571361.0
9,Chi phí lãi vay,1404273946.0,1331024208.0,1167622601.0,395104085.0,0.0,15326893.0,2094858131.0,85379874038.0,28606220784.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,4170879742.0,-43734130628.0,22264531303.0,-12806620055.0,-11359043344.0,-232882244054.0,-728974964214.0,16699627643.0,316572386435.0
13,(Tăng)/giảm hàng tồn kho,25658898074.0,-9139202885.0,1941675283.0,-21710775954.0,15621042357.0,-62422651645.0,-23523592194.0,58948799454.0,11074493698.0
14,Tăng/(giảm) các khoản phải trả,-28203945361.0,25134940134.0,-32121824624.0,36353220582.0,24691660884.0,363463620694.0,29043768521.0,213533615573.0,-140232644835.0
15,( Tăng)/giảm chi phí trả trước,290265134.0,34497295.0,33652174.0,-1867692.0,-261483160.0,-79847465.0,188036986.0,-1501218310.0,-70913803.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
