,CHỈ TIÊU,Q2 2012,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2015
0,Doanh số,39974050692.0,38001127514.0,60244645763.0,60244645763.0,49296353360.0,42992707585.0,50006046312.0,56927960167.0,54004229017.0,23079629028.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,39974050692.0,38001127514.0,60244645763.0,60244645763.0,49296353360.0,42992707585.0,50006046312.0,56927960167.0,54004229017.0,23079629028.0
3,Giá vốn hàng bán,-38330201617.0,-30260343491.0,-53550904304.0,-53550904304.0,-45720932080.0,-37036361262.0,-46766228817.0,-49726804116.0,-45928403205.0,-22233194691.0
4,Lãi gộp,1643849075.0,7740784023.0,6693741459.0,6693741459.0,3575421280.0,5956346323.0,3239817495.0,7201156051.0,8075825812.0,846434337.0
5,Thu nhập tài chính,985954678.0,14625441.0,216282284.0,216282284.0,25210901.0,46553579.0,453128203.0,117514518.0,85750344.0,162320831.0
6,Chi phí tài chính,-5665268838.0,-5447082526.0,-5358522664.0,-5358522664.0,-5301933505.0,-8500018029.0,-5019520769.0,-4801837115.0,-4241762845.0,-5301167037.0
7,Trong đó: Chi phí lãi vay,-3427125580.0,-3238023649.0,-3199861716.0,-3199861716.0,-2746495718.0,-3443210491.0,-2787674005.0,-2649711433.0,-2525557416.0,-2018924687.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-4610834490.0,-2276936093.0,-1875539280.0,-1875539280.0,-2043587173.0,-2655696997.0,-2072540223.0,-2237367805.0,-2110253266.0,-2559342967.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-7646299575.0,31390845.0,-324038201.0,-324038201.0,-3744888497.0,-5152815124.0,-3399115294.0,279465649.0,1809560045.0,-6851754836.0
12,Thu nhập khác,23746168.0,268130880.0,7706000.0,7706000.0,0.0,136469653.0,9454082.0,1635141803.0,0.0,91978826.0
13,Chi phí khác,-45748802.0,-62730000.0,-90558672.0,-90558672.0,0.0,-203031733.0,-25044000.0,-1156305533.0,0.0,-22425000.0
14,"Thu nhập khác, ròng",-22002634.0,205400880.0,-82852672.0,-82852672.0,0.0,-66562080.0,-15589918.0,478836270.0,0.0,69553826.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-7668302209.0,236791725.0,-406890873.0,-406890873.0,-3744888497.0,-5219377204.0,-3414705212.0,758301919.0,1809560045.0,-6782201010.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-7668302209.0,236791725.0,-406890873.0,-406890873.0,-3744888497.0,-5219377204.0,-3414705212.0,758301919.0,1809560045.0,-6782201010.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-7668302209.0,236791725.0,-406890873.0,-406890873.0,-3744888497.0,-5219377204.0,-3414705212.0,758301919.0,1809560045.0,-6782201010.0
23,Lãi cơ bản trên cổ phiếu,-1892.0,58.0,-67.0,-67.0,-616.0,-859.0,-562.0,125.0,298.0,-1116.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
