,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,71427292481.0,72002114060.0,83242606810.0,56300070377.0,47602688681.0,47602688681.0,43274357550.0,62263677892.0,55000602495.0,53636975522.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,71427292481.0,72002114060.0,83242606810.0,56300070377.0,47602688681.0,47602688681.0,43274357550.0,62263677892.0,55000602495.0,53636975522.0
3,Giá vốn hàng bán,-64621297406.0,-65879006801.0,-80710683923.0,-53251293531.0,-51801408833.0,-51801408833.0,-37006396192.0,-52846178351.0,-46589162163.0,-50958490814.0
4,Lãi gộp,6805995075.0,6123107259.0,2531922887.0,3048776846.0,-4198720152.0,-4198720152.0,6267961358.0,9417499541.0,8411440332.0,2678484708.0
5,Thu nhập tài chính,6766603680.0,2808237849.0,6690055572.0,11508023291.0,23319576745.0,23319576745.0,3211054444.0,21613093270.0,35546761705.0,5259681044.0
6,Chi phí tài chính,-2406617.0,0.0,-1851541.0,-336682.0,-13246578.0,-13246578.0,0.0,-3384867.0,0.0,-160000000.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,10979136047.0,5705761562.0,10741262253.0,459900640.0,-4631121538.0,-4631121538.0,23903207393.0,33178627144.0,23428895729.0,-27857755025.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,-1652120295.0,-3056863629.0,-4399802837.0,-6049077488.0
10,Chi phí quản lý doanh  nghiệp,-7726652457.0,-2567646699.0,-3723716799.0,-3855928820.0,-6737123865.0,-6737123865.0,-5684605646.0,-5831294646.0,-6990757075.0,-7878153492.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,16822675728.0,12069459971.0,16237672372.0,11160435275.0,7739364612.0,7739364612.0,26045497254.0,55317676813.0,55996537854.0,-34006820253.0
12,Thu nhập khác,37300751.0,2719988.0,0.0,0.0,524166642.0,524166642.0,3857721.0,-117721.0,577203705.0,56141951.0
13,Chi phí khác,-102653871.0,0.0,-14000000.0,0.0,-11757486.0,-11757486.0,-130516411.0,-17820042.0,-220387017.0,-118591864.0
14,"Thu nhập khác, ròng",-65353120.0,2719988.0,-14000000.0,0.0,512409156.0,512409156.0,-126658690.0,-17937763.0,356816688.0,-62449913.0
16,Lãi/(lỗ) ròng trước thuế,16757322608.0,12072179959.0,16223672372.0,11160435275.0,8251773768.0,8251773768.0,25918838564.0,55299739050.0,56353354542.0,-34069270166.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-261852551.0,-1273055679.0,-939760059.0,-798436567.0,1279529849.0,1279529849.0,-770571404.0,-980320817.0,-633178975.0,1697585618.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-261852551.0,-1273055679.0,-939760059.0,-798436567.0,1279529849.0,1279529849.0,-770571404.0,-980320817.0,-633178975.0,1697585618.0
20,Lãi/(lỗ) thuần sau thuế,16495470057.0,10799124280.0,15283912313.0,10361998708.0,9531303617.0,9531303617.0,25148267160.0,54319418233.0,55720175567.0,-32371684548.0
21,Lợi ích của cổ đông thiểu số,38682064.0,51006567.0,24234881.0,43794127.0,-79273090.0,-79273090.0,6432512.0,1657006.0,-47889306.0,-13116535.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,16456787993.0,10748117713.0,15259677432.0,10318204581.0,9610576707.0,9610576707.0,25141834648.0,54317761227.0,55768064873.0,-32358568013.0
23,Lãi cơ bản trên cổ phiếu,645.0,421.0,599.0,405.0,377.0,377.0,986.0,2130.0,2187.0,-1269.0
24,Lãi trên cổ phiếu pha loãng,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
