,Unnamed: 0,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-20844150000.0,-18088589405.0,-22077952584.0,-41130731.0,-33164321247.0,6753220152.0,10200344827.0,-23081747123.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,5544367595.0,-240105404.0,19401399264.0,-833942904.0,3051379600.0
2,Lãi trước thuế,0.0,0.0,0.0,2354992628.0,585850074.0,17660922053.0,13192601872.0,-1887134908.0
3,Khấu hao TSCĐ,0.0,0.0,575268078.0,1459711855.0,1725762581.0,1277016837.0,70159140.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,188034000.0,204989736.0,2243260087.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,-28396547.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,602636908.0,-2953506430.0,0.0,-14539475281.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,1155422751.0,401788371.0,275426374.0,237781629.0,2695254421.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,-31288625150.0,6551931211.0,8584438491.0,11425707140.0,-20754126415.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,-3808433231.0,-34963302550.0,-98605257381.0,-82241522.0,-7752227883.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,33919650069.0,-2307318788.0,94052933332.0,-272309084.0,7183690686.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,-274426994.0,27331114.0,2338018106.0,274073337.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,-1155422751.0,-401788371.0,-591252784.0,-237781629.0,-2636409416.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,-2978240269.0,-1831068459.0,-276722439.0,-73160511.0,-2174053695.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,14485184988.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,-32635521425.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,0.0,0.0,-36438214660.0,-140950377183.0,-12903715239.0,2499933392.0,-1715200000.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,-8575179518.0,-94659001840.0,-26947127369.0,2499725000.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,764600000.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-18000000000.0,-14594314441.0,-27460000000.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,43000000000.0,28057677176.0,43620000000.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-106196456451.0,-97109038964.0,-11000000000.0,0.0,-188915200000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,46000000000.0,35502593956.0,8375033288.0,0.0,187200000000.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,0.0,7333421309.0,1087106930.0,508378842.0,208392.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,21000000000.0,19000000000.0,60000000000.0,141095633714.0,44899944704.0,7592997405.0,-5500000000.0,19849292469.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,21000000000.0,19000000000.0,60000000000.0,143000000000.0,37000000000.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,-23500000000.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,106333443468.0,55673653200.0,18068748414.0,5500000000.0,93124191628.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,-84737809754.0,-47773708496.0,-10399301010.0,-11000000000.0,-73274899159.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,-76449999.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,155850000.0,911410595.0,1483832756.0,104125800.0,-1168091782.0,16846150949.0,2985144827.0,-3232454654.0
38,Tiền và tương đương tiền đầu kỳ,0.0,155850000.0,1067260595.0,2551093351.0,2652560330.0,1484468548.0,330189047.0,3315333874.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,-2658821.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,155850000.0,1067260595.0,2551093351.0,2652560330.0,1484468548.0,18330619497.0,3315333874.0,82879220.0
