,CHỈ TIÊU,2014,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,76930777069.0,153159092956.0,170686423246.0,169843540928.0,180454498704.0,185259831829.0,83911849165.0,94705058225.0
1,TÀI SẢN NGẮN HẠN,62418765234.0,42978380084.0,55159683256.0,63722457126.0,68065670805.0,76465598165.0,56239935114.0,70840388654.0
2,Tiền và tương đương tiền,21721222345.0,6358881239.0,11919131584.0,21968786732.0,27507929285.0,24919873429.0,17971394157.0,28640024287.0
3,Tiền,12990265378.0,6358881239.0,11919131584.0,3968786732.0,7507929285.0,6919873429.0,4971394157.0,3627979568.0
4,Các khoản tương đương tiền,8730956967.0,0.0,0.0,18000000000.0,20000000000.0,18000000000.0,13000000000.0,25012044719.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,36159330375.0,31867202449.0,38584344594.0,38236400741.0,37211285179.0,48759106236.0,35311769280.0,39077480750.0
10,Phải thu khách hàng,22334087794.0,31125029513.0,38246718715.0,37779351888.0,34067181131.0,41618434862.0,31520655279.0,38216804506.0
11,Trả trước người bán,18819803.0,156334583.0,71045879.0,123048353.0,1486075048.0,1200908987.0,374598641.0,198650803.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,13835165347.0,585838353.0,266580000.0,334000500.0,1658029000.0,5939762387.0,3416515360.0,662025441.0
16,Dự phòng nợ khó đòi,-28742569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",3657515622.0,4752296396.0,4656207078.0,3517269653.0,3346456341.0,2786618500.0,2956771677.0,3122883617.0
19,Hàng tồn kho,3657515622.0,4752296396.0,4656207078.0,3517269653.0,3346456341.0,2786618500.0,2956771677.0,3122883617.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,880696892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Trả trước ngắn hạn,392322402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,488374490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,14512011835.0,110180712872.0,115526739990.0,106121083802.0,112388827899.0,108794233664.0,27671914051.0,23864669571.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,14512011835.0,102267783257.0,111152947661.0,104784504233.0,111536369580.0,105613213457.0,26655380490.0,22598949051.0
37,GTCL TSCĐ hữu hình,14500811835.0,102267783257.0,111152947661.0,104784504233.0,111536369580.0,105613213457.0,26655380490.0,22598949051.0
38,Nguyên giá TSCĐ hữu hình,27469593920.0,123208381810.0,140965895418.0,143901007867.0,160829818699.0,162175833315.0,63324307886.0,63620257981.0
39,Khấu hao lũy kế TSCĐ hữu hình,-12968782085.0,-20940598553.0,-29812947757.0,-39116503634.0,-49293449119.0,-56562619858.0,-36668927396.0,-41021308930.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
