,CHỈ TIÊU,Q1 2015,Q2 2015,Q3 2015,Q2 2016
0,TỔNG TÀI SẢN,68810025422.0,70131500116.0,68949507743.0,69613978029.0
1,TÀI SẢN NGẮN HẠN,44455550975.0,46386475962.0,44220937015.0,46008514201.0
2,Tiền và tương đương tiền,24416458250.0,18292574135.0,13706473609.0,16238576002.0
3,Tiền,4616458250.0,1492574135.0,2906473609.0,7438576002.0
4,Các khoản tương đương tiền,19800000000.0,16800000000.0,10800000000.0,8800000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,6800000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,6800000000.0
9,Các khoản phải thu,6738169381.0,8233798800.0,15192521359.0,6205807575.0
10,Phải thu khách hàng,6621039818.0,6596799584.0,14405666033.0,2820050551.0
11,Trả trước người bán,40000000.0,1544400000.0,774000000.0,3939100000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,77129563.0,92599216.0,12855326.0,480755446.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,-1034098422.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",12388823315.0,19081856627.0,14579642047.0,16607277446.0
19,Hàng tồn kho,12388823315.0,19081856627.0,14579642047.0,16607277446.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,912100029.0,778246400.0,742300000.0,156853178.0
22,Trả trước ngắn hạn,0.0,48498872.0,0.0,111867951.0
23,Thuế VAT phải thu,48647997.0,47697528.0,0.0,25577927.0
24,Phải thu thuế khác,42162032.0,0.0,0.0,19407300.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,821290000.0,682050000.0,742300000.0,0.0
27,TÀI SẢN DÀI HẠN,24354474447.0,23745024154.0,24728570728.0,23605463828.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,23882110043.0,23341374635.0,24217418702.0,22637872865.0
37,GTCL TSCĐ hữu hình,12447587297.0,11906851889.0,12782895956.0,11203350119.0
38,Nguyên giá TSCĐ hữu hình,34960065600.0,34960065600.0,36385520145.0,36385520145.0
39,Khấu hao lũy kế TSCĐ hữu hình,-22512478303.0,-23053213711.0,-23602624189.0,-25182170026.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,11434522746.0,11434522746.0,11434522746.0,11434522746.0
44,Nguyên giá TSCĐ vô hình,11434522746.0,11434522746.0,11434522746.0,11434522746.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
