,CHỈ TIÊU,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q2 2016
0,Doanh số,3052756877.0,3503854155.0,19091972394.0,28983297814.0,12184253915.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,3052756877.0,3503854155.0,19091972394.0,28983297814.0,12184253915.0
3,Giá vốn hàng bán,-1465918256.0,-1854140434.0,-12597711143.0,-23348646066.0,-7590075629.0
4,Lãi gộp,1586838621.0,1649713721.0,6494261251.0,5634651748.0,4594178286.0
5,Thu nhập tài chính,174235193.0,247394173.0,157337559.0,181396812.0,254801794.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1272457344.0,-1662637285.0,-1622504921.0,-3683335544.0,-1554179870.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,488616470.0,234470609.0,5029093889.0,2132713016.0,3294800210.0
12,Thu nhập khác,102608182.0,116226023.0,123534254.0,157354354.0,69072727.0
13,Chi phí khác,-40600000.0,-60260000.0,-112278000.0,-89190834.0,-22805763.0
14,"Thu nhập khác, ròng",62008182.0,55966023.0,11256254.0,68163520.0,46266964.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,550624652.0,290436632.0,5040350143.0,2200876536.0,3341067174.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-121137423.0,-63896059.0,-1108877031.0,-733349715.0,-668213435.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-121137423.0,-63896059.0,-1108877031.0,-733349715.0,-668213435.0
20,Lãi/(lỗ) thuần sau thuế,429487229.0,226540573.0,3931473112.0,1467526821.0,2672853739.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,429487229.0,226540573.0,3931473112.0,1467526821.0,2672853739.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0
