,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,112043661278.0,86872012695.0,98364898686.0,109235390564.0,137271936581.0,137271936581.0,119384784924.0,134499894057.0,126803141405.0,135084710352.0
1,Các khoản giảm trừ,-608402742.0,-7206800.0,-71409266.0,-159328135.0,-208510168.0,-208510168.0,-42075040.0,-196913275.0,-550565985.0,-383486020.0
2,Doanh số thuần,111435258536.0,86864805895.0,98293489420.0,109076062429.0,137063426413.0,137063426413.0,119342709884.0,134302980782.0,126252575420.0,134701224332.0
3,Giá vốn hàng bán,-95933098427.0,-73674170077.0,-82900794646.0,-92344053828.0,-119036770266.0,-119036770266.0,-107188882633.0,-120469101313.0,-115634222054.0,-118896688716.0
4,Lãi gộp,15502160109.0,13190635818.0,15392694774.0,16732008601.0,18026656147.0,18026656147.0,12153827251.0,13833879469.0,10618353366.0,15804535616.0
5,Thu nhập tài chính,1512715668.0,1001434646.0,869572212.0,488021563.0,467003612.0,467003612.0,697428857.0,511888253.0,169886494.0,288943055.0
6,Chi phí tài chính,-1629465767.0,-1324525729.0,-868518819.0,-563618219.0,-993005496.0,-993005496.0,-790439611.0,-2863511702.0,-1018362825.0,-1946342899.0
7,Trong đó: Chi phí lãi vay,-1628620207.0,-1323807963.0,-1307216118.0,-563607819.0,-891460733.0,-891460733.0,-707437089.0,-1660286886.0,-757190756.0,-769799978.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5502990358.0,-3815576286.0,-3371240094.0,-3714565331.0,-5447727019.0,-5447727019.0,-4369297713.0,-4511504201.0,-3621462898.0,-4221924858.0
10,Chi phí quản lý doanh  nghiệp,-5455888223.0,-4020358233.0,-4413627997.0,-4679150493.0,-4878674265.0,-4878674265.0,-4088335920.0,-4378260807.0,-4099962474.0,-4044095343.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,4426531429.0,5031610216.0,7608880076.0,8262696121.0,7174252979.0,7174252979.0,3603182864.0,2592491012.0,2048451663.0,5881115571.0
12,Thu nhập khác,3953670701.0,109100354.0,908288803.0,1691667.0,26502808.0,26502808.0,16084298.0,45620471.0,10101444.0,49796311.0
13,Chi phí khác,-482758193.0,-155084791.0,-139154736.0,-15000.0,-436529990.0,-436529990.0,-28487928.0,-68537.0,-73064017.0,0.0
14,"Thu nhập khác, ròng",3470912508.0,-45984437.0,769134067.0,1676667.0,-410027182.0,-410027182.0,-12403630.0,45551934.0,-62962573.0,49796311.0
16,Lãi/(lỗ) ròng trước thuế,7897443937.0,4985625779.0,8378014143.0,8264372788.0,6764225797.0,6764225797.0,3590779234.0,2638042946.0,1985489090.0,5930911882.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1579488787.0,-997125156.0,-1675602828.0,-1652874558.0,-1475229870.0,-1475229870.0,-615853432.0,-563162008.0,-456002221.0,-1194026969.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1579488787.0,-997125156.0,-1675602828.0,-1652874558.0,-1475229870.0,-1475229870.0,-615853432.0,-563162008.0,-456002221.0,-1194026969.0
20,Lãi/(lỗ) thuần sau thuế,6317955150.0,3988500623.0,6702411315.0,6611498230.0,5288995927.0,5288995927.0,2974925802.0,2074880938.0,1529486869.0,4736884913.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,6317955150.0,3988500623.0,6702411315.0,6611498230.0,5288995927.0,5288995927.0,2974925802.0,2074880938.0,1529486869.0,4736884913.0
23,Lãi cơ bản trên cổ phiếu,419.0,265.0,445.0,439.0,351.0,351.0,197.0,138.0,101.0,314.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
