,Unnamed: 0,2013,2014,2015,2016,2017
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1249119008.0,-2622146292.0,1896016821.0,-534150010.0,-263546321.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,785779010.0,1841937264.0,-5900731355.0,-6604207583.0,-1281919278.0
2,Lãi trước thuế,303256277.0,734141629.0,-6501325952.0,-7124806222.0,-1824713507.0
3,Khấu hao TSCĐ,220236017.0,106697265.0,0.0,0.0,0.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,175103.0,-139624.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-5032711.0,630956357.0,-9176922.0,-4600951.0,-2706491.0
9,Chi phí lãi vay,267319427.0,370142013.0,609596416.0,525339214.0,545500720.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1984162050.0,-1003364409.0,-10911888.0,-1040560907.0,-912964388.0
13,(Tăng)/giảm hàng tồn kho,-1685661007.0,1624833118.0,5111008915.0,9326034176.0,5652320749.0
14,Tăng/(giảm) các khoản phải trả,4194874526.0,-5180842038.0,2564280884.0,-2467003464.0,-3977505437.0
15,( Tăng)/giảm chi phí trả trước,82218137.0,331499068.0,339253507.0,271226657.0,275010089.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-267319427.0,-320364120.0,-206883242.0,-19638889.0,-18488056.0
18,Thuế thu nhập doanh nghiệp đã trả,724537556.0,84154825.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,-601147737.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,5032711.0,-448744780.0,20250533.0,-37399049.0,199706491.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,-42000000.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-450000000.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,5032711.0,0.0,0.0,0.0,42000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,155000000.0
28,Cổ tức và tiền lãi nhận được,0.0,1255220.0,20250533.0,4600951.0,2706491.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-1388337245.0,3013701100.0,-623054529.0,-710000000.0,165691667.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1669257774.0,13379291428.0,1058220217.0,300000000.0,310000000.0
33,Tiển trả các khoản đi vay,-3057595019.0,-10365590328.0,-1681274746.0,-1010000000.0,-144308333.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-134185526.0,-57189972.0,1293212825.0,-1281549059.0,101851837.0
38,Tiền và tương đương tiền đầu kỳ,353153491.0,218967965.0,161777993.0,1454815715.0,173406280.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,-175103.0,139624.0,0.0
40,Tiền và tương đương tiền cuối kỳ,218967965.0,161777993.0,1454815715.0,173406280.0,275258117.0
